"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,1,0.00
0.950,0.00000,0,0.00
1.000,0.00000,1,0.00
1.050,0.00000,1,0.00
1.100,0.00000,1,0.00
1.150,0.00000,1,0.00
1.200,0.00000,1,0.00
1.250,0.00000,1,0.00
1.300,0.00000,1,0.00
1.350,0.00000,0,0.00
1.400,0.00000,1,0.00
1.450,0.00000,1,0.00
1.500,0.00000,0,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,1,0.00
1.700,0.00000,0,0.00
1.750,0.00000,1,0.00
1.800,0.00000,1,0.00
1.850,0.00000,0,0.00
1.900,0.00000,1,0.00
1.950,0.00000,1,0.00
2.000,0.00000,0,0.00
2.050,0.00000,1,0.13
2.100,0.00000,1,0.25
2.150,6.35000E-7,2,0.25
2.200,6.35000E-7,3,0.13
2.250,6.35000E-7,4,0.00
2.300,6.35000E-7,3,0.00
2.350,6.35000E-7,3,0.13
2.400,6.35000E-7,3,0.38
2.450,1.27000E-6,4,0.64
2.500,1.90500E-6,6,0.64
2.550,2.54000E-6,7,0.51
2.600,2.54000E-6,8,0.51
2.650,3.17500E-6,8,0.89
2.700,3.81000E-6,10,1.52
2.750,5.71500E-6,14,1.91
2.800,7.62000E-6,18,1.78
2.850,8.89000E-6,20,1.14
2.900,9.52500E-6,22,0.51
2.950,9.52500E-6,22,0.13
3.000,9.52500E-6,22,0.00
3.050,9.52500E-6,22,0.00
3.100,9.52500E-6,22,0.00
3.150,9.52500E-6,22,0.00
3.200,9.52500E-6,23,0.00
3.250,9.52500E-6,22,0.00
3.300,9.52500E-6,22,0.00
3.350,9.52500E-6,22,0.00
3.400,9.52500E-6,22,0.00
3.450,9.52500E-6,23,0.00
3.500,9.52500E-6,22,0.00
3.550,9.52500E-6,22,0.00
3.600,9.52500E-6,23,0.00
3.650,9.52500E-6,22,0.00
3.700,9.52500E-6,22,0.00
3.750,9.52500E-6,22,0.13
3.800,9.52500E-6,22,0.38
3.850,1.01600E-5,22,0.63
3.900,1.07950E-5,23,0.89
3.950,1.14300E-5,25,1.02
4.000,1.27000E-5,28,1.27
4.050,1.33350E-5,31,1.52
4.100,1.52400E-5,33,1.52
4.150,1.65100E-5,38,1.14
4.200,1.71450E-5,39,0.51
4.250,1.71450E-5,39,0.25
4.300,1.71450E-5,39,0.25
4.350,1.77800E-5,39,0.38
4.400,1.77800E-5,39,0.51
4.450,1.84150E-5,41,0.64
4.500,1.90500E-5,43,0.64
4.550,1.96850E-5,43,0.51
4.600,1.96850E-5,44,0.51
4.650,2.03200E-5,45,0.76
4.700,2.09550E-5,46,1.02
4.750,2.22250E-5,47,1.02
4.800,2.28600E-5,51,0.89
4.850,2.34950E-5,52,0.63
4.900,2.41300E-5,52,0.51
4.950,2.41300E-5,53,0.51
5.000,2.47650E-5,54,0.76
5.050,2.54000E-5,56,1.02
5.100,2.66700E-5,58,1.14
5.150,2.73050E-5,60,1.02
5.200,2.85750E-5,63,0.89
5.250,2.85750E-5,64,0.76
5.300,2.98450E-5,66,0.63
5.350,2.98450E-5,66,0.63
5.400,3.04800E-5,69,0.64
5.450,3.11150E-5,70,0.76
5.500,3.17500E-5,71,0.89
5.550,3.23850E-5,72,1.14
5.600,3.36550E-5,76,1.40
5.650,3.49250E-5,79,1.27
5.700,3.61950E-5,83,0.76
5.750,3.61950E-5,84,0.25
5.800,3.61950E-5,84,0.13
5.850,3.61950E-5,84,0.25
5.900,3.68300E-5,83,0.38
5.950,3.68300E-5,85,0.51
6.000,3.74650E-5,85,0.64
6.050,3.81000E-5,86,0.76
6.100,3.87350E-5,89,0.76
6.150,3.93700E-5,91,0.89
6.200,4.00050E-5,93,1.27
6.250,4.12750E-5,96,1.65
6.300,4.31800E-5,101,1.78
6.350,4.44500E-5,106,1.40
6.400,4.57200E-5,109,0.89
6.450,4.57200E-5,110,0.64
6.500,4.63550E-5,110,0.51
6.550,4.69900E-5,112,0.51
6.600,4.69900E-5,114,0.38
6.650,4.76250E-5,115,0.25
6.700,4.76250E-5,115,0.25
6.750,4.76250E-5,116,0.25
6.800,4.82600E-5,117,0.25
6.850,4.82600E-5,116,0.25
6.900,4.82600E-5,117,0.51
6.950,4.88950E-5,118,0.76
7.000,5.01650E-5,120,0.64
7.050,5.01650E-5,122,0.38
7.100,5.01650E-5,122,0.51
7.150,5.08000E-5,124,0.89
7.200,5.20700E-5,127,0.89
7.250,5.27050E-5,130,0.64
7.300,5.27050E-5,130,0.51
7.350,5.33400E-5,132,0.64
7.400,5.39750E-5,132,0.76
7.450,5.46100E-5,136,0.76
7.500,5.52450E-5,138,0.76
7.550,5.58800E-5,140,0.76
7.600,5.65150E-5,142,0.76
7.650,5.71500E-5,144,0.64
7.700,5.77850E-5,144,0.38
7.750,5.77850E-5,145,0.13
7.800,5.77850E-5,146,0.00
7.850,5.77850E-5,145,0.13
7.900,5.77850E-5,145,0.38
7.950,5.84200E-5,146,0.76
8.000,5.90550E-5,150,0.89
8.050,6.03250E-5,152,0.64
8.100,6.03250E-5,154,0.38
8.150,6.03250E-5,154,0.25
8.200,6.09600E-5,155,0.25
8.250,6.09600E-5,156,0.25
8.300,6.09600E-5,157,0.38
8.350,6.15950E-5,159,0.63
8.400,6.22300E-5,161,0.76
8.450,6.28650E-5,162,0.63
8.500,6.35000E-5,165,0.51
8.550,6.35000E-5,165,0.38
8.600,6.41350E-5,166,0.25
8.650,6.41350E-5,166,0.25
8.700,6.41350E-5,166,0.25
8.750,6.47700E-5,167,0.38
8.800,6.47700E-5,169,0.38
8.850,6.54050E-5,170,0.38
8.900,6.54050E-5,171,0.51
8.950,6.60400E-5,174,0.63
9.000,6.66750E-5,176,0.64
9.050,6.73100E-5,177,0.38
9.100,6.73100E-5,178,0.13
9.150,6.73100E-5,178,0.00
9.200,6.73100E-5,178,0.00
9.250,6.73100E-5,178,0.00
9.300,6.73100E-5,178,0.00
9.350,6.73100E-5,177,0.00
9.400,6.73100E-5,178,0.00
9.450,6.73100E-5,177,0.00
9.500,6.73100E-5,178,0.00
9.550,6.73100E-5,178,0.00
9.600,6.73100E-5,177,0.00
9.650,6.73100E-5,178,0.00
9.700,6.73100E-5,178,0.00
9.750,6.73100E-5,178,0.00
9.800,6.73100E-5,177,0.00
9.850,6.73100E-5,177,0.00
9.900,6.73100E-5,177,0.00
9.950,6.73100E-5,177,0.00
10.000,6.73100E-5,177,0.00
10.050,6.73100E-5,177,0.00
10.100,6.73100E-5,177,0.00
10.150,6.73100E-5,177,0.00
10.200,6.73100E-5,177,0.00
10.250,6.73100E-5,177,0.00
10.300,6.73100E-5,177,0.00
10.350,6.73100E-5,177,0.00
10.400,6.73100E-5,177,0.00
10.450,6.73100E-5,178,0.13
10.500,6.73100E-5,177,0.25
10.550,6.79450E-5,178,0.51
10.600,6.79450E-5,180,0.76
10.650,6.92150E-5,182,0.76
10.700,6.98500E-5,186,0.64
10.750,6.98500E-5,187,0.38
10.800,7.04850E-5,188,0.38
10.850,7.04850E-5,188,0.38
10.900,7.11200E-5,191,0.38
10.950,7.11200E-5,193,0.51
11.000,7.17550E-5,194,0.51
11.050,7.23900E-5,195,0.51
11.100,7.23900E-5,196,0.51
11.150,7.30250E-5,198,0.51
11.200,7.36600E-5,200,0.51
11.250,7.36600E-5,201,0.38
11.300,7.42950E-5,202,0.25
11.350,7.42950E-5,203,0.25
11.400,7.42950E-5,205,0.25
11.450,7.49300E-5,203,0.25
11.500,7.49300E-5,204,0.13
11.550,7.49300E-5,204,0.00
11.600,7.49300E-5,204,0.00
11.650,7.49300E-5,206,0.13
11.700,7.49300E-5,205,0.25
11.750,7.55650E-5,206,0.25
11.800,7.55650E-5,207,0.13
11.850,7.55650E-5,208,0.13
11.900,7.55650E-5,208,0.25
11.950,7.62000E-5,208,0.25
12.000,7.62000E-5,209,0.13
12.050,7.62000E-5,209,0.13
12.100,7.62000E-5,209,0.25
12.150,7.68350E-5,210,0.25
12.200,7.68350E-5,211,0.25
12.250,7.68350E-5,211,0.25
12.300,7.74700E-5,214,0.38
12.350,7.74700E-5,214,0.38
12.400,7.81050E-5,215,0.25
12.450,7.81050E-5,216,0.13
12.500,7.81050E-5,217,0.13
12.550,7.81050E-5,217,0.25
12.600,7.87400E-5,218,0.25
12.650,7.87400E-5,219,0.13
12.700,7.87400E-5,219,0.13
