"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,1,0.00
0.300,0.00000,1,0.00
0.350,0.00000,1,0.00
0.400,0.00000,0,0.00
0.450,0.00000,1,0.00
0.500,0.00000,0,0.00
0.550,0.00000,1,0.00
0.600,0.00000,1,0.00
0.650,0.00000,1,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,1,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,0,0.00
1.500,0.00000,1,0.00
1.550,0.00000,0,0.00
1.600,0.00000,0,0.00
1.650,0.00000,0,0.00
1.700,0.00000,0,0.00
1.750,0.00000,1,0.00
1.800,0.00000,0,0.00
1.850,0.00000,0,0.00
1.900,0.00000,1,0.25
1.950,0.00000,1,0.76
2.000,1.27000E-6,2,1.27
2.050,2.54000E-6,4,1.40
2.100,3.81000E-6,6,1.02
2.150,4.44500E-6,8,0.64
2.200,4.44500E-6,8,0.51
2.250,5.08000E-6,8,0.51
2.300,5.71500E-6,9,0.38
2.350,5.71500E-6,10,0.25
2.400,5.71500E-6,10,0.25
2.450,6.35000E-6,10,0.25
2.500,6.35000E-6,10,0.13
2.550,6.35000E-6,10,0.00
2.600,6.35000E-6,10,0.00
2.650,6.35000E-6,11,0.00
2.700,6.35000E-6,10,0.00
2.750,6.35000E-6,11,0.00
2.800,6.35000E-6,10,0.00
2.850,6.35000E-6,10,0.13
2.900,6.35000E-6,10,0.25
2.950,6.98500E-6,10,0.25
3.000,6.98500E-6,11,0.13
3.050,6.98500E-6,12,0.13
3.100,6.98500E-6,12,0.25
3.150,7.62000E-6,11,0.25
3.200,7.62000E-6,12,0.13
3.250,7.62000E-6,12,0.13
3.300,7.62000E-6,13,0.25
3.350,8.25500E-6,13,0.38
3.400,8.25500E-6,14,0.51
3.450,8.89000E-6,14,0.63
3.500,9.52500E-6,14,0.76
3.550,1.01600E-5,16,0.76
3.600,1.07950E-5,17,0.89
3.650,1.14300E-5,17,1.02
3.700,1.27000E-5,19,1.02
3.750,1.33350E-5,20,0.76
3.800,1.39700E-5,21,0.51
3.850,1.39700E-5,22,0.38
3.900,1.46050E-5,21,0.38
3.950,1.46050E-5,22,0.38
4.000,1.52400E-5,23,0.25
4.050,1.52400E-5,23,0.13
4.100,1.52400E-5,24,0.00
4.150,1.52400E-5,23,0.00
4.200,1.52400E-5,22,0.00
4.250,1.52400E-5,23,0.00
4.300,1.52400E-5,23,0.00
4.350,1.52400E-5,24,0.00
4.400,1.52400E-5,23,0.00
4.450,1.52400E-5,23,0.00
4.500,1.52400E-5,23,0.13
4.550,1.52400E-5,24,0.25
4.600,1.58750E-5,23,0.25
4.650,1.58750E-5,23,0.25
4.700,1.58750E-5,24,0.25
4.750,1.65100E-5,25,0.25
4.800,1.65100E-5,24,0.13
4.850,1.65100E-5,24,0.13
4.900,1.65100E-5,25,0.25
4.950,1.71450E-5,25,0.25
5.000,1.71450E-5,26,0.25
5.050,1.71450E-5,26,0.25
5.100,1.77800E-5,26,0.38
5.150,1.77800E-5,27,0.38
5.200,1.84150E-5,27,0.38
5.250,1.84150E-5,28,0.38
5.300,1.90500E-5,28,0.38
5.350,1.90500E-5,30,0.38
5.400,1.96850E-5,29,0.38
5.450,1.96850E-5,30,0.51
5.500,2.03200E-5,30,0.51
5.550,2.09550E-5,31,0.38
5.600,2.09550E-5,31,0.13
5.650,2.09550E-5,32,0.00
5.700,2.09550E-5,32,0.13
5.750,2.09550E-5,32,0.25
5.800,2.15900E-5,32,0.25
5.850,2.15900E-5,32,0.13
5.900,2.15900E-5,32,0.00
5.950,2.15900E-5,32,0.00
6.000,2.15900E-5,32,0.13
6.050,2.15900E-5,32,0.25
6.100,2.22250E-5,32,0.25
6.150,2.22250E-5,33,0.25
6.200,2.22250E-5,33,0.25
6.250,2.28600E-5,34,0.25
6.300,2.28600E-5,34,0.25
6.350,2.28600E-5,35,0.25
6.400,2.34950E-5,35,0.25
6.450,2.34950E-5,35,0.13
6.500,2.34950E-5,35,0.00
6.550,2.34950E-5,35,0.13
6.600,2.34950E-5,36,0.25
6.650,2.41300E-5,36,0.25
6.700,2.41300E-5,36,0.25
6.750,2.41300E-5,36,0.38
6.800,2.47650E-5,37,0.63
6.850,2.54000E-5,38,0.63
6.900,2.60350E-5,38,0.51
6.950,2.60350E-5,39,0.51
7.000,2.66700E-5,40,0.51
7.050,2.73050E-5,40,0.38
7.100,2.73050E-5,40,0.13
7.150,2.73050E-5,41,0.13
7.200,2.73050E-5,41,0.25
7.250,2.79400E-5,41,0.25
7.300,2.79400E-5,42,0.13
7.350,2.79400E-5,42,0.00
7.400,2.79400E-5,42,0.13
7.450,2.79400E-5,42,0.25
7.500,2.85750E-5,42,0.25
7.550,2.85750E-5,43,0.25
7.600,2.85750E-5,42,0.25
7.650,2.92100E-5,43,0.25
7.700,2.92100E-5,43,0.13
7.750,2.92100E-5,44,0.13
7.800,2.92100E-5,45,0.25
7.850,2.98450E-5,43,0.25
7.900,2.98450E-5,45,0.25
7.950,2.98450E-5,44,0.25
8.000,3.04800E-5,45,0.25
8.050,3.04800E-5,45,0.25
8.100,3.04800E-5,45,0.25
8.150,3.11150E-5,46,0.25
8.200,3.11150E-5,45,0.13
8.250,3.11150E-5,47,0.00
8.300,3.11150E-5,46,0.00
8.350,3.11150E-5,46,0.13
8.400,3.11150E-5,46,0.25
8.450,3.17500E-5,47,0.25
8.500,3.17500E-5,47,0.13
8.550,3.17500E-5,47,0.13
8.600,3.17500E-5,48,0.25
8.650,3.23850E-5,48,0.25
8.700,3.23850E-5,49,0.13
8.750,3.23850E-5,48,0.13
8.800,3.23850E-5,49,0.25
8.850,3.30200E-5,49,0.38
8.900,3.30200E-5,50,0.51
8.950,3.36550E-5,51,0.64
9.000,3.42900E-5,52,0.76
9.050,3.49250E-5,52,0.76
9.100,3.55600E-5,52,0.63
9.150,3.61950E-5,54,0.51
9.200,3.61950E-5,54,0.38
9.250,3.68300E-5,55,0.25
9.300,3.68300E-5,55,0.25
9.350,3.68300E-5,56,0.25
9.400,3.74650E-5,56,0.25
9.450,3.74650E-5,55,0.13
9.500,3.74650E-5,55,0.13
9.550,3.74650E-5,57,0.25
9.600,3.81000E-5,56,0.38
9.650,3.81000E-5,57,0.51
9.700,3.87350E-5,58,0.51
9.750,3.93700E-5,59,0.38
9.800,3.93700E-5,60,0.25
9.850,3.93700E-5,59,0.25
9.900,4.00050E-5,59,0.25
9.950,4.00050E-5,60,0.13
10.000,4.00050E-5,59,0.00
10.050,4.00050E-5,60,0.00
10.100,4.00050E-5,60,0.13
10.150,4.00050E-5,60,0.25
10.200,4.06400E-5,61,0.25
10.250,4.06400E-5,61,0.13
10.300,4.06400E-5,61,0.00
10.350,4.06400E-5,60,0.00
10.400,4.06400E-5,60,0.00
10.450,4.06400E-5,60,0.00
10.500,4.06400E-5,60,0.00
10.550,4.06400E-5,61,0.00
10.600,4.06400E-5,61,0.00
10.650,4.06400E-5,60,0.25
10.700,4.06400E-5,61,0.64
10.750,4.19100E-5,63,0.89
10.800,4.25450E-5,64,0.89
10.850,4.31800E-5,65,0.64
10.900,4.38150E-5,66,0.38
10.950,4.38150E-5,65,0.13
11.000,4.38150E-5,66,0.13
11.050,4.38150E-5,67,0.25
11.100,4.44500E-5,67,0.25
11.150,4.44500E-5,67,0.25
11.200,4.44500E-5,68,0.25
11.250,4.50850E-5,68,0.25
11.300,4.50850E-5,68,0.25
11.350,4.50850E-5,69,0.25
11.400,4.57200E-5,68,0.38
11.450,4.57200E-5,70,0.38
11.500,4.63550E-5,70,0.38
11.550,4.63550E-5,70,0.38
11.600,4.69900E-5,71,0.38
11.650,4.69900E-5,72,0.38
11.700,4.76250E-5,72,0.38
11.750,4.76250E-5,73,0.51
11.800,4.82600E-5,73,0.51
11.850,4.88950E-5,74,0.51
11.900,4.88950E-5,75,0.38
11.950,4.95300E-5,75,0.38
12.000,4.95300E-5,76,0.38
12.050,5.01650E-5,76,0.38
12.100,5.01650E-5,77,0.38
12.150,5.08000E-5,77,0.25
12.200,5.08000E-5,77,0.13
12.250,5.08000E-5,77,0.13
12.300,5.08000E-5,78,0.25
12.350,5.14350E-5,78,0.25
12.400,5.14350E-5,79,0.25
12.450,5.14350E-5,78,0.25
12.500,5.20700E-5,79,0.38
12.550,5.20700E-5,79,0.38
12.600,5.27050E-5,80,0.25
12.650,5.27050E-5,80,0.13
