"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.13
0.750,0.00000,0,0.25
0.800,6.35000E-7,0,0.51
0.850,6.35000E-7,0,0.76
0.900,1.90500E-6,1,0.89
0.950,2.54000E-6,2,0.89
1.000,3.17500E-6,3,0.76
1.050,3.81000E-6,3,0.76
1.100,4.44500E-6,5,0.89
1.150,5.08000E-6,5,1.02
1.200,6.35000E-6,5,1.14
1.250,6.98500E-6,6,1.27
1.300,8.25500E-6,6,1.40
1.350,9.52500E-6,9,1.40
1.400,1.07950E-5,9,1.14
1.450,1.14300E-5,11,0.76
1.500,1.20650E-5,11,0.51
1.550,1.20650E-5,12,0.38
1.600,1.27000E-5,12,0.38
1.650,1.27000E-5,12,0.38
1.700,1.33350E-5,12,0.38
1.750,1.33350E-5,12,0.51
1.800,1.39700E-5,13,0.63
1.850,1.46050E-5,13,0.76
1.900,1.52400E-5,14,0.89
1.950,1.58750E-5,14,1.27
2.000,1.71450E-5,16,1.90
2.050,1.90500E-5,16,2.16
2.100,2.15900E-5,19,1.65
2.150,2.22250E-5,21,0.76
2.200,2.22250E-5,20,0.13
2.250,2.22250E-5,20,0.00
2.300,2.22250E-5,20,0.00
2.350,2.22250E-5,20,0.13
2.400,2.22250E-5,20,0.25
2.450,2.28600E-5,21,0.38
2.500,2.28600E-5,21,0.38
2.550,2.34950E-5,21,0.38
2.600,2.34950E-5,21,0.51
2.650,2.41300E-5,21,0.51
2.700,2.47650E-5,22,0.51
2.750,2.47650E-5,22,0.38
2.800,2.54000E-5,23,0.38
2.850,2.54000E-5,23,0.51
2.900,2.60350E-5,24,0.64
2.950,2.66700E-5,24,0.76
3.000,2.73050E-5,25,0.89
3.050,2.79400E-5,26,1.02
3.100,2.92100E-5,26,1.02
3.150,2.98450E-5,27,1.02
3.200,3.04800E-5,28,1.02
3.250,3.17500E-5,29,1.02
3.300,3.23850E-5,30,0.76
3.350,3.30200E-5,30,0.51
3.400,3.30200E-5,31,0.38
3.450,3.36550E-5,31,0.38
3.500,3.36550E-5,31,0.38
3.550,3.42900E-5,32,0.38
3.600,3.42900E-5,31,0.51
3.650,3.49250E-5,32,0.51
3.700,3.55600E-5,32,0.51
3.750,3.55600E-5,33,0.38
3.800,3.61950E-5,33,0.38
3.850,3.61950E-5,34,0.38
3.900,3.68300E-5,33,0.25
3.950,3.68300E-5,34,0.25
4.000,3.68300E-5,34,0.38
4.050,3.74650E-5,35,0.64
4.100,3.81000E-5,35,0.64
4.150,3.87350E-5,36,0.38
4.200,3.87350E-5,36,0.25
4.250,3.87350E-5,35,0.38
4.300,3.93700E-5,36,0.64
4.350,4.00050E-5,37,0.89
4.400,4.06400E-5,38,1.02
4.450,4.19100E-5,38,1.14
4.500,4.25450E-5,40,1.14
4.550,4.38150E-5,41,1.02
4.600,4.44500E-5,41,0.89
4.650,4.50850E-5,42,0.64
4.700,4.57200E-5,42,0.51
4.750,4.57200E-5,43,0.38
4.800,4.63550E-5,43,0.38
4.850,4.63550E-5,43,0.51
4.900,4.69900E-5,43,0.51
4.950,4.76250E-5,45,0.51
5.000,4.76250E-5,45,0.51
5.050,4.82600E-5,44,0.64
5.100,4.88950E-5,45,0.76
5.150,4.95300E-5,45,0.76
5.200,5.01650E-5,46,0.76
5.250,5.08000E-5,47,0.64
5.300,5.14350E-5,46,0.51
5.350,5.14350E-5,48,0.51
5.400,5.20700E-5,48,0.64
5.450,5.27050E-5,49,0.76
5.500,5.33400E-5,49,0.76
5.550,5.39750E-5,50,0.64
5.600,5.46100E-5,50,0.51
5.650,5.46100E-5,51,0.38
5.700,5.52450E-5,50,0.38
5.750,5.52450E-5,51,0.38
5.800,5.58800E-5,51,0.38
5.850,5.58800E-5,51,0.38
5.900,5.65150E-5,52,0.38
5.950,5.65150E-5,52,0.38
6.000,5.71500E-5,53,0.38
6.050,5.71500E-5,53,0.38
6.100,5.77850E-5,53,0.38
6.150,5.77850E-5,53,0.38
6.200,5.84200E-5,54,0.38
6.250,5.84200E-5,53,0.51
6.300,5.90550E-5,53,0.64
6.350,5.96900E-5,56,0.64
6.400,6.03250E-5,55,0.51
6.450,6.03250E-5,56,0.38
6.500,6.09600E-5,56,0.25
6.550,6.09600E-5,56,0.25
6.600,6.09600E-5,56,0.25
6.650,6.15950E-5,55,0.38
6.700,6.15950E-5,57,0.51
6.750,6.22300E-5,57,0.51
6.800,6.28650E-5,57,0.51
6.850,6.28650E-5,58,0.51
6.900,6.35000E-5,58,0.51
6.950,6.41350E-5,59,0.51
7.000,6.41350E-5,58,0.51
7.050,6.47700E-5,60,0.64
7.100,6.54050E-5,59,0.76
7.150,6.60400E-5,60,0.76
7.200,6.66750E-5,60,0.76
7.250,6.73100E-5,62,0.76
7.300,6.79450E-5,61,0.64
7.350,6.85800E-5,62,0.51
7.400,6.85800E-5,63,0.38
7.450,6.92150E-5,63,0.38
7.500,6.92150E-5,63,0.38
7.550,6.98500E-5,64,0.25
7.600,6.98500E-5,64,0.13
7.650,6.98500E-5,63,0.13
7.700,6.98500E-5,64,0.25
7.750,7.04850E-5,65,0.25
7.800,7.04850E-5,65,0.25
7.850,7.04850E-5,64,0.25
7.900,7.11200E-5,65,0.38
7.950,7.11200E-5,65,0.38
8.000,7.17550E-5,66,0.25
8.050,7.17550E-5,65,0.25
8.100,7.17550E-5,66,0.25
8.150,7.23900E-5,66,0.38
8.200,7.23900E-5,66,0.51
8.250,7.30250E-5,67,0.51
8.300,7.36600E-5,67,0.51
8.350,7.36600E-5,66,0.38
8.400,7.42950E-5,68,0.38
8.450,7.42950E-5,68,0.38
8.500,7.49300E-5,68,0.25
8.550,7.49300E-5,68,0.25
8.600,7.49300E-5,68,0.25
8.650,7.55650E-5,68,0.25
8.700,7.55650E-5,68,0.13
8.750,7.55650E-5,69,0.13
8.800,7.55650E-5,70,0.25
8.850,7.62000E-5,70,0.25
8.900,7.62000E-5,69,0.25
8.950,7.62000E-5,70,0.25
9.000,7.68350E-5,69,0.38
9.050,7.68350E-5,70,0.51
9.100,7.74700E-5,70,0.64
9.150,7.81050E-5,71,0.76
9.200,7.87400E-5,71,0.63
9.250,7.93750E-5,71,0.38
9.300,7.93750E-5,73,0.13
9.350,7.93750E-5,72,0.00
9.400,7.93750E-5,72,0.13
9.450,7.93750E-5,73,0.25
9.500,8.00100E-5,72,0.25
9.550,8.00100E-5,73,0.25
9.600,8.00100E-5,72,0.25
9.650,8.06450E-5,73,0.25
9.700,8.06450E-5,73,0.13
9.750,8.06450E-5,74,0.00
9.800,8.06450E-5,73,0.00
9.850,8.06450E-5,74,0.00
9.900,8.06450E-5,73,0.00
9.950,8.06450E-5,73,0.00
10.000,8.06450E-5,73,0.00
10.050,8.06450E-5,74,0.00
10.100,8.06450E-5,73,0.00
10.150,8.06450E-5,74,0.13
10.200,8.06450E-5,74,0.25
10.250,8.12800E-5,74,0.38
10.300,8.12800E-5,73,0.51
10.350,8.19150E-5,74,0.51
10.400,8.25500E-5,74,0.51
10.450,8.25500E-5,75,0.38
10.500,8.31850E-5,76,0.25
10.550,8.31850E-5,76,0.13
10.600,8.31850E-5,76,0.00
10.650,8.31850E-5,75,0.13
10.700,8.31850E-5,76,0.25
10.750,8.38200E-5,76,0.38
10.800,8.38200E-5,77,0.38
10.850,8.44550E-5,77,0.38
10.900,8.44550E-5,77,0.38
10.950,8.50900E-5,78,0.25
11.000,8.50900E-5,78,0.13
11.050,8.50900E-5,78,0.13
11.100,8.50900E-5,77,0.25
11.150,8.57250E-5,78,0.38
11.200,8.57250E-5,78,0.38
11.250,8.63600E-5,79,0.38
11.300,8.63600E-5,78,0.51
11.350,8.69950E-5,79,0.51
11.400,8.76300E-5,80,0.38
11.450,8.76300E-5,79,0.25
11.500,8.76300E-5,81,0.25
11.550,8.82650E-5,80,0.25
11.600,8.82650E-5,80,0.13
11.650,8.82650E-5,80,0.25
11.700,8.82650E-5,81,0.64
11.750,8.95350E-5,81,0.89
11.800,9.01700E-5,81,0.89
11.850,9.08050E-5,83,0.76
11.900,9.14400E-5,83,0.64
11.950,9.20750E-5,84,0.63
12.000,9.20750E-5,84,0.76
12.050,9.33450E-5,85,0.89
12.100,9.39800E-5,85,0.89
12.150,9.46150E-5,86,0.63
12.200,9.52500E-5,87,0.51
12.250,9.52500E-5,87,0.51
12.300,9.58850E-5,88,0.51
12.350,9.65200E-5,87,0.51
12.400,9.65200E-5,87,0.51
12.450,9.71550E-5,88,0.64
