"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,1,0.00
0.200,0.00000,1,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,1,0.00
0.400,0.00000,1,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,1,0.00
0.700,0.00000,0,0.00
0.750,0.00000,1,0.00
0.800,0.00000,1,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,1,0.00
1.250,0.00000,1,0.00
1.300,0.00000,1,0.00
1.350,0.00000,0,0.00
1.400,0.00000,1,0.00
1.450,0.00000,0,0.00
1.500,0.00000,0,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,0,0.00
1.700,0.00000,1,0.00
1.750,0.00000,1,0.00
1.800,0.00000,0,0.00
1.850,0.00000,0,0.00
1.900,0.00000,0,0.00
1.950,0.00000,0,0.00
2.000,0.00000,0,0.00
2.050,0.00000,1,0.00
2.100,0.00000,1,0.00
2.150,0.00000,0,0.00
2.200,0.00000,1,0.00
2.250,0.00000,1,0.00
2.300,0.00000,1,0.00
2.350,0.00000,1,0.00
2.400,0.00000,1,0.00
2.450,0.00000,0,0.00
2.500,0.00000,1,0.00
2.550,0.00000,1,0.00
2.600,0.00000,0,0.00
2.650,0.00000,0,0.00
2.700,0.00000,0,0.00
2.750,0.00000,0,0.00
2.800,0.00000,1,0.00
2.850,0.00000,0,0.00
2.900,0.00000,1,0.00
2.950,0.00000,1,0.00
3.000,0.00000,1,0.00
3.050,0.00000,0,0.00
3.100,0.00000,0,0.00
3.150,0.00000,0,0.00
3.200,0.00000,0,0.00
3.250,0.00000,0,0.00
3.300,0.00000,0,0.00
3.350,0.00000,0,0.00
3.400,0.00000,0,0.00
3.450,0.00000,-1,0.00
3.500,0.00000,0,0.00
3.550,0.00000,0,0.00
3.600,0.00000,0,0.00
3.650,0.00000,0,0.00
3.700,0.00000,0,0.00
3.750,0.00000,0,0.00
3.800,0.00000,0,0.00
3.850,0.00000,0,0.00
3.900,0.00000,0,0.00
3.950,0.00000,0,0.00
4.000,0.00000,0,0.00
4.050,0.00000,0,0.00
4.100,0.00000,0,0.00
4.150,0.00000,0,0.25
4.200,0.00000,0,0.64
4.250,1.27000E-6,4,0.76
4.300,1.90500E-6,5,0.51
4.350,1.90500E-6,5,0.13
4.400,1.90500E-6,6,0.00
4.450,1.90500E-6,5,0.00
4.500,1.90500E-6,4,0.13
4.550,1.90500E-6,5,0.38
4.600,2.54000E-6,6,0.63
4.650,3.17500E-6,7,0.76
4.700,3.81000E-6,9,0.63
4.750,4.44500E-6,11,0.51
4.800,4.44500E-6,13,0.38
4.850,5.08000E-6,12,0.38
4.900,5.08000E-6,13,0.64
4.950,5.71500E-6,14,0.89
5.000,6.98500E-6,17,0.89
5.050,7.62000E-6,19,0.63
5.100,7.62000E-6,20,0.51
5.150,8.25500E-6,22,0.63
5.200,8.89000E-6,23,0.76
5.250,9.52500E-6,25,0.63
5.300,1.01600E-5,26,0.51
5.350,1.01600E-5,27,0.38
5.400,1.07950E-5,28,0.25
5.450,1.07950E-5,27,0.13
5.500,1.07950E-5,28,0.00
5.550,1.07950E-5,28,0.00
5.600,1.07950E-5,28,0.00
5.650,1.07950E-5,28,0.00
5.700,1.07950E-5,28,0.00
5.750,1.07950E-5,28,0.00
5.800,1.07950E-5,29,0.00
5.850,1.07950E-5,28,0.00
5.900,1.07950E-5,28,0.13
5.950,1.07950E-5,28,0.25
6.000,1.14300E-5,29,0.25
6.050,1.14300E-5,29,0.13
6.100,1.14300E-5,29,0.00
6.150,1.14300E-5,30,0.13
6.200,1.14300E-5,30,0.25
6.250,1.20650E-5,31,0.51
6.300,1.20650E-5,32,0.63
6.350,1.33350E-5,34,0.63
6.400,1.33350E-5,37,0.51
6.450,1.39700E-5,37,0.38
6.500,1.39700E-5,38,0.51
6.550,1.46050E-5,40,0.76
6.600,1.52400E-5,41,1.02
6.650,1.65100E-5,44,0.89
6.700,1.71450E-5,46,0.64
6.750,1.71450E-5,48,0.38
6.800,1.77800E-5,48,0.25
6.850,1.77800E-5,48,0.13
6.900,1.77800E-5,49,0.13
6.950,1.77800E-5,50,0.25
7.000,1.84150E-5,51,0.38
7.050,1.84150E-5,51,0.51
7.100,1.90500E-5,52,0.51
7.150,1.96850E-5,54,0.38
7.200,1.96850E-5,55,0.25
7.250,1.96850E-5,55,0.25
7.300,2.03200E-5,54,0.38
7.350,2.03200E-5,56,0.38
7.400,2.09550E-5,57,0.38
7.450,2.09550E-5,58,0.38
7.500,2.15900E-5,58,0.38
7.550,2.15900E-5,59,0.51
7.600,2.22250E-5,61,0.51
7.650,2.28600E-5,62,0.38
7.700,2.28600E-5,64,0.25
7.750,2.28600E-5,65,0.25
7.800,2.34950E-5,66,0.25
7.850,2.34950E-5,65,0.13
7.900,2.34950E-5,66,0.00
7.950,2.34950E-5,66,0.13
8.000,2.34950E-5,66,0.25
8.050,2.41300E-5,67,0.25
8.100,2.41300E-5,67,0.25
8.150,2.41300E-5,68,0.25
8.200,2.47650E-5,69,0.38
8.250,2.47650E-5,70,0.38
8.300,2.54000E-5,71,0.38
8.350,2.54000E-5,73,0.38
8.400,2.60350E-5,73,0.38
8.450,2.60350E-5,74,0.51
8.500,2.66700E-5,76,0.64
8.550,2.73050E-5,77,0.64
8.600,2.79400E-5,79,0.38
8.650,2.79400E-5,79,0.25
8.700,2.79400E-5,80,0.25
8.750,2.85750E-5,82,0.38
8.800,2.85750E-5,82,0.38
8.850,2.92100E-5,83,0.38
8.900,2.92100E-5,84,0.38
8.950,2.98450E-5,85,0.38
9.000,2.98450E-5,87,0.38
9.050,3.04800E-5,88,0.38
9.100,3.04800E-5,88,0.38
9.150,3.11150E-5,90,0.25
9.200,3.11150E-5,90,0.25
9.250,3.11150E-5,91,0.25
9.300,3.17500E-5,90,0.38
9.350,3.17500E-5,92,0.38
9.400,3.23850E-5,94,0.38
9.450,3.23850E-5,94,0.51
9.500,3.30200E-5,96,0.51
9.550,3.36550E-5,97,0.38
9.600,3.36550E-5,98,0.25
9.650,3.36550E-5,98,0.38
9.700,3.42900E-5,99,0.51
9.750,3.49250E-5,102,0.51
9.800,3.49250E-5,103,0.38
9.850,3.55600E-5,103,0.25
9.900,3.55600E-5,104,0.13
9.950,3.55600E-5,104,0.13
10.000,3.55600E-5,105,0.38
10.050,3.61950E-5,107,0.64
10.100,3.68300E-5,109,0.64
10.150,3.74650E-5,110,0.38
10.200,3.74650E-5,111,0.13
10.250,3.74650E-5,111,0.13
10.300,3.74650E-5,111,0.25
10.350,3.81000E-5,112,0.25
10.400,3.81000E-5,112,0.13
10.450,3.81000E-5,113,0.13
10.500,3.81000E-5,113,0.38
10.550,3.87350E-5,115,0.64
10.600,3.93700E-5,117,0.63
10.650,4.00050E-5,119,0.51
10.700,4.00050E-5,119,0.38
10.750,4.06400E-5,121,0.38
10.800,4.06400E-5,122,0.38
10.850,4.12750E-5,124,0.38
10.900,4.12750E-5,124,0.38
10.950,4.19100E-5,125,0.25
11.000,4.19100E-5,127,0.25
11.050,4.19100E-5,127,0.25
11.100,4.25450E-5,128,0.38
11.150,4.25450E-5,130,0.51
11.200,4.31800E-5,132,0.64
11.250,4.38150E-5,133,0.63
11.300,4.44500E-5,134,0.51
11.350,4.44500E-5,135,0.38
11.400,4.50850E-5,137,0.38
11.450,4.50850E-5,139,0.51
11.500,4.57200E-5,139,0.51
11.550,4.63550E-5,142,0.51
11.600,4.63550E-5,143,0.38
11.650,4.69900E-5,144,0.25
11.700,4.69900E-5,145,0.13
11.750,4.69900E-5,146,0.13
11.800,4.69900E-5,147,0.25
11.850,4.76250E-5,146,0.25
11.900,4.76250E-5,147,0.25
11.950,4.76250E-5,149,0.38
12.000,4.82600E-5,150,0.63
12.050,4.88950E-5,151,0.64
12.100,4.95300E-5,153,0.51
12.150,4.95300E-5,156,0.51
12.200,5.01650E-5,157,0.64
12.250,5.08000E-5,159,0.63
12.300,5.14350E-5,161,0.51
12.350,5.14350E-5,162,0.38
12.400,5.20700E-5,164,0.38
12.450,5.20700E-5,165,0.38
12.500,5.27050E-5,167,0.38
12.550,5.27050E-5,167,0.51
12.600,5.33400E-5,169,0.51
12.650,5.39750E-5,169,0.51
12.700,5.39750E-5,172,0.51
12.750,5.46100E-5,173,0.64
12.800,5.52450E-5,176,0.64
12.850,5.58800E-5,178,0.51
12.900,5.58800E-5,179,0.51
12.950,5.65150E-5,182,0.64
13.000,5.71500E-5,182,0.63
13.050,5.77850E-5,184,0.38
