"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,1,0.00
0.150,0.00000,1,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,1,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,1,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.13
0.900,0.00000,0,0.38
0.950,6.35000E-7,1,0.51
1.000,1.27000E-6,1,0.51
1.050,1.27000E-6,2,0.38
1.100,1.90500E-6,2,0.38
1.150,1.90500E-6,2,0.38
1.200,2.54000E-6,2,0.38
1.250,2.54000E-6,2,0.38
1.300,3.17500E-6,2,0.38
1.350,3.17500E-6,3,0.38
1.400,3.81000E-6,4,0.25
1.450,3.81000E-6,4,0.25
1.500,3.81000E-6,4,0.25
1.550,4.44500E-6,4,0.25
1.600,4.44500E-6,4,0.13
1.650,4.44500E-6,4,0.13
1.700,4.44500E-6,5,0.25
1.750,5.08000E-6,5,0.38
1.800,5.08000E-6,5,0.38
1.850,5.71500E-6,5,0.38
1.900,5.71500E-6,5,0.38
1.950,6.35000E-6,6,0.25
2.000,6.35000E-6,5,0.13
2.050,6.35000E-6,5,0.00
2.100,6.35000E-6,6,0.13
2.150,6.35000E-6,6,0.25
2.200,6.98500E-6,6,0.25
2.250,6.98500E-6,6,0.13
2.300,6.98500E-6,6,0.00
2.350,6.98500E-6,6,0.13
2.400,6.98500E-6,6,0.25
2.450,7.62000E-6,6,0.25
2.500,7.62000E-6,6,0.25
2.550,7.62000E-6,6,0.25
2.600,8.25500E-6,7,0.38
2.650,8.25500E-6,7,0.38
2.700,8.89000E-6,8,0.25
2.750,8.89000E-6,7,0.13
2.800,8.89000E-6,7,0.00
2.850,8.89000E-6,8,0.13
2.900,8.89000E-6,7,0.25
2.950,9.52500E-6,8,0.25
3.000,9.52500E-6,7,0.25
3.050,9.52500E-6,9,0.25
3.100,1.01600E-5,8,0.25
3.150,1.01600E-5,9,0.25
3.200,1.01600E-5,9,0.25
3.250,1.07950E-5,8,0.25
3.300,1.07950E-5,8,0.25
3.350,1.07950E-5,9,0.25
3.400,1.14300E-5,9,0.25
3.450,1.14300E-5,10,0.25
3.500,1.14300E-5,10,0.25
3.550,1.20650E-5,10,0.25
3.600,1.20650E-5,10,0.13
3.650,1.20650E-5,10,0.00
3.700,1.20650E-5,11,0.00
3.750,1.20650E-5,9,0.00
3.800,1.20650E-5,10,0.13
3.850,1.20650E-5,11,0.25
3.900,1.27000E-5,10,0.25
3.950,1.27000E-5,11,0.13
4.000,1.27000E-5,11,0.13
4.050,1.27000E-5,11,0.25
4.100,1.33350E-5,11,0.38
4.150,1.33350E-5,12,0.38
4.200,1.39700E-5,12,0.25
4.250,1.39700E-5,12,0.13
4.300,1.39700E-5,12,0.00
4.350,1.39700E-5,12,0.13
4.400,1.39700E-5,12,0.25
4.450,1.46050E-5,13,0.25
4.500,1.46050E-5,12,0.13
4.550,1.46050E-5,13,0.00
4.600,1.46050E-5,12,0.13
4.650,1.46050E-5,12,0.25
4.700,1.52400E-5,12,0.38
4.750,1.52400E-5,13,0.51
4.800,1.58750E-5,13,0.64
4.850,1.65100E-5,14,0.64
4.900,1.71450E-5,14,0.51
4.950,1.71450E-5,14,0.38
5.000,1.77800E-5,14,0.25
5.050,1.77800E-5,15,0.13
5.100,1.77800E-5,15,0.13
5.150,1.77800E-5,15,0.38
5.200,1.84150E-5,15,0.51
5.250,1.90500E-5,16,0.38
5.300,1.90500E-5,16,0.25
5.350,1.90500E-5,16,0.25
5.400,1.96850E-5,16,0.25
5.450,1.96850E-5,16,0.13
5.500,1.96850E-5,16,0.00
5.550,1.96850E-5,16,0.00
5.600,1.96850E-5,17,0.00
5.650,1.96850E-5,16,0.00
5.700,1.96850E-5,16,0.00
5.750,1.96850E-5,16,0.13
5.800,1.96850E-5,16,0.51
5.850,2.03200E-5,17,1.02
5.900,2.15900E-5,17,1.27
5.950,2.28600E-5,19,1.02
6.000,2.34950E-5,20,0.51
6.050,2.34950E-5,20,0.13
6.100,2.34950E-5,20,0.00
6.150,2.34950E-5,19,0.00
6.200,2.34950E-5,20,0.13
6.250,2.34950E-5,20,0.25
6.300,2.41300E-5,20,0.38
6.350,2.41300E-5,20,0.38
6.400,2.47650E-5,21,0.38
6.450,2.47650E-5,20,0.38
6.500,2.54000E-5,20,0.25
6.550,2.54000E-5,21,0.25
6.600,2.54000E-5,21,0.25
6.650,2.60350E-5,22,0.38
6.700,2.60350E-5,21,0.38
6.750,2.66700E-5,22,0.38
6.800,2.66700E-5,22,0.38
6.850,2.73050E-5,23,0.25
6.900,2.73050E-5,23,0.13
6.950,2.73050E-5,23,0.00
7.000,2.73050E-5,23,0.13
7.050,2.73050E-5,23,0.25
7.100,2.79400E-5,24,0.25
7.150,2.79400E-5,23,0.13
7.200,2.79400E-5,23,0.13
7.250,2.79400E-5,24,0.38
7.300,2.85750E-5,23,0.51
7.350,2.92100E-5,24,0.38
7.400,2.92100E-5,25,0.13
7.450,2.92100E-5,25,0.00
7.500,2.92100E-5,24,0.00
7.550,2.92100E-5,25,0.13
7.600,2.92100E-5,24,0.25
7.650,2.98450E-5,25,0.38
7.700,2.98450E-5,25,0.51
7.750,3.04800E-5,25,0.51
7.800,3.11150E-5,26,0.38
7.850,3.11150E-5,26,0.13
7.900,3.11150E-5,26,0.13
7.950,3.11150E-5,26,0.25
8.000,3.17500E-5,27,0.25
8.050,3.17500E-5,27,0.25
8.100,3.17500E-5,27,0.25
8.150,3.23850E-5,27,0.38
8.200,3.23850E-5,27,0.38
8.250,3.30200E-5,27,0.25
8.300,3.30200E-5,28,0.25
8.350,3.30200E-5,28,0.25
8.400,3.36550E-5,28,0.38
8.450,3.36550E-5,28,0.51
8.500,3.42900E-5,29,0.64
8.550,3.49250E-5,29,0.76
8.600,3.55600E-5,30,0.76
8.650,3.61950E-5,31,0.64
8.700,3.68300E-5,31,0.51
8.750,3.68300E-5,31,0.38
8.800,3.74650E-5,31,0.25
8.850,3.74650E-5,32,0.13
8.900,3.74650E-5,32,0.13
8.950,3.74650E-5,32,0.25
9.000,3.81000E-5,32,0.25
9.050,3.81000E-5,32,0.13
9.100,3.81000E-5,32,0.13
9.150,3.81000E-5,32,0.25
9.200,3.87350E-5,32,0.25
9.250,3.87350E-5,33,0.25
9.300,3.87350E-5,32,0.25
9.350,3.93700E-5,33,0.25
9.400,3.93700E-5,33,0.25
9.450,3.93700E-5,33,0.25
9.500,4.00050E-5,33,0.25
9.550,4.00050E-5,34,0.25
9.600,4.00050E-5,34,0.25
9.650,4.06400E-5,34,0.25
9.700,4.06400E-5,34,0.13
9.750,4.06400E-5,34,0.00
9.800,4.06400E-5,34,0.13
9.850,4.06400E-5,35,0.25
9.900,4.12750E-5,35,0.25
9.950,4.12750E-5,35,0.13
10.000,4.12750E-5,35,0.13
10.050,4.12750E-5,36,0.25
10.100,4.19100E-5,35,0.25
10.150,4.19100E-5,35,0.25
10.200,4.19100E-5,35,0.25
10.250,4.25450E-5,36,0.25
10.300,4.25450E-5,36,0.25
10.350,4.25450E-5,36,0.25
10.400,4.31800E-5,36,0.25
10.450,4.31800E-5,36,0.25
10.500,4.31800E-5,36,0.25
10.550,4.38150E-5,37,0.25
10.600,4.38150E-5,37,0.25
10.650,4.38150E-5,37,0.25
10.700,4.44500E-5,37,0.38
10.750,4.44500E-5,38,0.38
10.800,4.50850E-5,38,0.25
10.850,4.50850E-5,38,0.25
10.900,4.50850E-5,38,0.25
10.950,4.57200E-5,38,0.25
11.000,4.57200E-5,39,0.13
11.050,4.57200E-5,39,0.13
11.100,4.57200E-5,39,0.25
11.150,4.63550E-5,39,0.25
11.200,4.63550E-5,39,0.13
11.250,4.63550E-5,39,0.13
11.300,4.63550E-5,39,0.25
11.350,4.69900E-5,39,0.25
11.400,4.69900E-5,39,0.13
11.450,4.69900E-5,39,0.13
11.500,4.69900E-5,39,0.25
11.550,4.76250E-5,40,0.38
11.600,4.76250E-5,40,0.38
11.650,4.82600E-5,40,0.38
11.700,4.82600E-5,40,0.38
11.750,4.88950E-5,41,0.25
11.800,4.88950E-5,41,0.25
11.850,4.88950E-5,42,0.25
11.900,4.95300E-5,42,0.25
11.950,4.95300E-5,41,0.13
12.000,4.95300E-5,42,0.00
12.050,4.95300E-5,41,0.13
12.100,4.95300E-5,41,0.25
12.150,5.01650E-5,42,0.38
12.200,5.01650E-5,42,0.38
12.250,5.08000E-5,42,0.25
12.300,5.08000E-5,42,0.25
12.350,5.08000E-5,43,0.25
12.400,5.14350E-5,43,0.25
12.450,5.14350E-5,43,0.13
12.500,5.14350E-5,43,0.13
