"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,1,0.00
0.100,0.00000,1,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,-1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,0,0.00
1.500,0.00000,0,0.00
1.550,0.00000,0,0.00
1.600,0.00000,0,0.00
1.650,0.00000,0,0.00
1.700,0.00000,0,0.00
1.750,0.00000,0,0.00
1.800,0.00000,0,0.00
1.850,0.00000,0,0.00
1.900,0.00000,0,0.00
1.950,0.00000,0,0.00
2.000,0.00000,0,0.00
2.050,0.00000,0,0.00
2.100,0.00000,0,0.00
2.150,0.00000,0,0.00
2.200,0.00000,0,0.00
2.250,0.00000,1,0.00
2.300,0.00000,0,0.00
2.350,0.00000,1,0.00
2.400,0.00000,0,0.00
2.450,0.00000,0,0.00
2.500,0.00000,1,0.00
2.550,0.00000,1,0.00
2.600,0.00000,1,0.00
2.650,0.00000,0,0.00
2.700,0.00000,0,0.00
2.750,0.00000,1,0.00
2.800,0.00000,1,0.00
2.850,0.00000,2,0.00
2.900,0.00000,2,0.00
2.950,0.00000,2,0.13
3.000,0.00000,2,0.38
3.050,6.35000E-7,2,0.63
3.100,1.27000E-6,3,0.76
3.150,1.90500E-6,5,0.63
3.200,2.54000E-6,7,0.38
3.250,2.54000E-6,7,0.25
3.300,2.54000E-6,7,0.25
3.350,3.17500E-6,8,0.25
3.400,3.17500E-6,7,0.13
3.450,3.17500E-6,8,0.00
3.500,3.17500E-6,7,0.00
3.550,3.17500E-6,8,0.00
3.600,3.17500E-6,8,0.13
3.650,3.17500E-6,8,0.25
3.700,3.81000E-6,9,0.25
3.750,3.81000E-6,9,0.13
3.800,3.81000E-6,9,0.13
3.850,3.81000E-6,10,0.25
3.900,4.44500E-6,10,0.25
3.950,4.44500E-6,11,0.13
4.000,4.44500E-6,10,0.13
4.050,4.44500E-6,11,0.25
4.100,5.08000E-6,12,0.25
4.150,5.08000E-6,12,0.13
4.200,5.08000E-6,12,0.00
4.250,5.08000E-6,12,0.13
4.300,5.08000E-6,13,0.25
4.350,5.71500E-6,13,0.25
4.400,5.71500E-6,13,0.13
4.450,5.71500E-6,13,0.13
4.500,5.71500E-6,13,0.25
4.550,6.35000E-6,14,0.25
4.600,6.35000E-6,14,0.25
4.650,6.35000E-6,15,0.25
4.700,6.98500E-6,15,0.25
4.750,6.98500E-6,16,0.13
4.800,6.98500E-6,16,0.00
4.850,6.98500E-6,16,0.00
4.900,6.98500E-6,16,0.13
4.950,6.98500E-6,17,0.25
5.000,7.62000E-6,17,0.25
5.050,7.62000E-6,17,0.13
5.100,7.62000E-6,17,0.00
5.150,7.62000E-6,18,0.00
5.200,7.62000E-6,17,0.00
5.250,7.62000E-6,17,0.00
5.300,7.62000E-6,17,0.00
5.350,7.62000E-6,18,0.00
5.400,7.62000E-6,18,0.00
5.450,7.62000E-6,18,0.00
5.500,7.62000E-6,17,0.00
5.550,7.62000E-6,18,0.00
5.600,7.62000E-6,18,0.00
5.650,7.62000E-6,18,0.00
5.700,7.62000E-6,19,0.00
5.750,7.62000E-6,19,0.13
5.800,7.62000E-6,19,0.25
5.850,8.25500E-6,19,0.25
5.900,8.25500E-6,19,0.13
5.950,8.25500E-6,19,0.00
6.000,8.25500E-6,20,0.00
6.050,8.25500E-6,20,0.00
6.100,8.25500E-6,19,0.00
6.150,8.25500E-6,20,0.00
6.200,8.25500E-6,20,0.00
6.250,8.25500E-6,20,0.00
6.300,8.25500E-6,19,0.00
6.350,8.25500E-6,20,0.00
6.400,8.25500E-6,20,0.13
6.450,8.25500E-6,19,0.25
6.500,8.89000E-6,19,0.25
6.550,8.89000E-6,20,0.13
6.600,8.89000E-6,21,0.00
6.650,8.89000E-6,20,0.00
6.700,8.89000E-6,21,0.00
6.750,8.89000E-6,20,0.00
6.800,8.89000E-6,21,0.00
6.850,8.89000E-6,20,0.00
6.900,8.89000E-6,21,0.13
6.950,8.89000E-6,22,0.25
7.000,9.52500E-6,21,0.25
7.050,9.52500E-6,21,0.13
7.100,9.52500E-6,22,0.00
7.150,9.52500E-6,22,0.00
7.200,9.52500E-6,22,0.00
7.250,9.52500E-6,22,0.00
7.300,9.52500E-6,22,0.00
7.350,9.52500E-6,22,0.00
7.400,9.52500E-6,22,0.00
7.450,9.52500E-6,22,0.00
7.500,9.52500E-6,23,0.00
7.550,9.52500E-6,22,0.00
7.600,9.52500E-6,22,0.00
7.650,9.52500E-6,23,0.00
7.700,9.52500E-6,23,0.00
