"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,1,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,1,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,0,0.00
1.500,0.00000,0,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,1,0.00
1.700,0.00000,0,0.00
1.750,0.00000,0,0.00
1.800,0.00000,0,0.00
1.850,0.00000,0,0.00
1.900,0.00000,0,0.00
1.950,0.00000,0,0.00
2.000,0.00000,0,0.00
2.050,0.00000,0,0.00
2.100,0.00000,0,0.00
2.150,0.00000,0,0.00
2.200,0.00000,0,0.00
2.250,0.00000,0,0.00
2.300,0.00000,0,0.00
2.350,0.00000,0,0.00
2.400,0.00000,0,0.00
2.450,0.00000,0,0.00
2.500,0.00000,0,0.00
2.550,0.00000,0,0.00
2.600,0.00000,0,0.00
2.650,0.00000,0,0.00
2.700,0.00000,0,0.00
2.750,0.00000,0,0.00
2.800,0.00000,0,0.13
2.850,0.00000,0,0.63
2.900,6.35000E-7,0,1.27
2.950,2.54000E-6,3,1.90
3.000,3.81000E-6,6,2.16
3.050,6.35000E-6,8,2.03
3.100,7.62000E-6,10,1.65
3.150,8.89000E-6,12,1.40
3.200,9.52500E-6,13,2.29
3.250,1.14300E-5,15,3.56
3.300,1.65100E-5,20,3.81
3.350,1.96850E-5,24,2.54
3.400,2.03200E-5,25,0.89
3.450,2.03200E-5,24,0.13
3.500,2.03200E-5,25,0.00
3.550,2.03200E-5,25,0.00
3.600,2.03200E-5,24,0.00
3.650,2.03200E-5,25,0.00
3.700,2.03200E-5,25,0.00
3.750,2.03200E-5,24,0.00
3.800,2.03200E-5,25,0.00
3.850,2.03200E-5,24,0.00
3.900,2.03200E-5,25,0.00
3.950,2.03200E-5,25,0.00
4.000,2.03200E-5,25,0.00
4.050,2.03200E-5,24,0.00
4.100,2.03200E-5,24,0.00
4.150,2.03200E-5,25,0.00
4.200,2.03200E-5,25,0.25
4.250,2.03200E-5,25,0.63
4.300,2.15900E-5,25,1.02
4.350,2.22250E-5,26,1.27
4.400,2.34950E-5,26,1.40
4.450,2.47650E-5,27,1.40
4.500,2.60350E-5,29,1.27
4.550,2.66700E-5,29,1.27
4.600,2.79400E-5,30,1.40
4.650,2.92100E-5,31,1.40
4.700,3.04800E-5,32,1.14
4.750,3.11150E-5,33,0.89
4.800,3.17500E-5,34,0.76
4.850,3.23850E-5,35,0.76
4.900,3.30200E-5,35,0.89
4.950,3.36550E-5,35,1.02
5.000,3.49250E-5,37,1.02
5.050,3.55600E-5,38,1.02
5.100,3.61950E-5,39,1.02
5.150,3.74650E-5,41,0.89
5.200,3.81000E-5,41,0.64
5.250,3.81000E-5,41,0.38
5.300,3.87350E-5,42,0.38
5.350,3.87350E-5,43,0.38
5.400,3.93700E-5,43,0.51
5.450,3.93700E-5,43,0.89
5.500,4.06400E-5,44,1.27
5.550,4.19100E-5,45,1.52
5.600,4.31800E-5,47,1.27
5.650,4.44500E-5,48,0.89
5.700,4.44500E-5,49,0.51
5.750,4.50850E-5,49,0.38
5.800,4.50850E-5,50,0.51
5.850,4.57200E-5,50,0.76
5.900,4.63550E-5,51,1.27
5.950,4.76250E-5,52,1.78
6.000,4.95300E-5,55,2.16
6.050,5.14350E-5,56,2.16
6.100,5.33400E-5,58,1.90
6.150,5.46100E-5,60,1.52
6.200,5.58800E-5,62,1.27
6.250,5.65150E-5,63,1.27
6.300,5.77850E-5,64,1.27
6.350,5.90550E-5,65,1.27
6.400,5.96900E-5,67,1.27
6.450,6.09600E-5,68,1.52
6.500,6.22300E-5,70,1.90
6.550,6.41350E-5,72,2.16
6.600,6.60400E-5,75,2.29
6.650,6.79450E-5,77,2.16
6.700,6.98500E-5,81,1.78
6.750,7.11200E-5,82,1.14
6.800,7.17550E-5,82,0.64
6.850,7.17550E-5,83,0.38
6.900,7.23900E-5,84,0.25
6.950,7.23900E-5,83,0.25
7.000,7.23900E-5,84,0.51
7.050,7.30250E-5,85,1.02
7.100,7.42950E-5,86,1.52
7.150,7.55650E-5,88,1.78
7.200,7.74700E-5,90,1.65
7.250,7.87400E-5,92,1.27
7.300,7.93750E-5,93,0.89
7.350,8.00100E-5,94,0.89
7.400,8.06450E-5,95,1.02
7.450,8.19150E-5,97,1.14
7.500,8.25500E-5,98,1.27
7.550,8.38200E-5,100,1.27
7.600,8.50900E-5,102,1.14
7.650,8.57250E-5,102,0.89
7.700,8.63600E-5,104,0.76
7.750,8.69950E-5,104,0.89
7.800,8.76300E-5,106,1.02
7.850,8.89000E-5,106,1.27
7.900,8.95350E-5,107,1.65
7.950,9.14400E-5,110,2.16
8.000,9.33450E-5,113,2.54
8.050,9.58850E-5,116,2.41
8.100,9.77900E-5,119,1.90
8.150,9.90600E-5,121,1.27
8.200,9.96950E-5,123,0.89
8.250,1.00330E-4,124,0.63
8.300,1.00965E-4,124,0.51
8.350,1.00965E-4,125,0.38
8.400,1.01600E-4,125,0.38
8.450,1.01600E-4,125,0.38
8.500,1.02235E-4,125,0.51
8.550,1.02235E-4,126,0.76
8.600,1.03505E-4,127,1.02
8.650,1.04140E-4,128,1.40
8.700,1.05410E-4,130,1.52
8.750,1.07315E-4,133,1.52
8.800,1.07950E-4,134,1.40
8.850,1.09220E-4,136,1.40
8.900,1.10490E-4,138,1.40
8.950,1.11760E-4,140,1.14
9.000,1.12395E-4,141,0.89
9.050,1.13030E-4,143,0.76
9.100,1.13665E-4,143,0.63
9.150,1.14300E-4,143,0.51
9.200,1.14300E-4,143,0.51
9.250,1.14935E-4,144,0.51
9.300,1.15570E-4,145,0.51
9.350,1.15570E-4,145,0.51
9.400,1.16205E-4,146,0.64
9.450,1.16840E-4,147,0.89
9.500,1.17475E-4,148,1.27
9.550,1.18745E-4,150,1.78
9.600,1.20650E-4,153,1.90
9.650,1.22555E-4,156,1.52
9.700,1.23190E-4,156,1.02
9.750,1.23825E-4,158,1.02
9.800,1.24460E-4,158,1.40
9.850,1.26365E-4,160,1.65
9.900,1.27635E-4,162,1.52
9.950,1.28905E-4,165,1.14
10.000,1.29540E-4,166,0.89
10.050,1.30175E-4,166,0.76
10.100,1.30810E-4,168,0.89
10.150,1.31445E-4,168,1.02
10.200,1.32715E-4,169,1.02
10.250,1.33350E-4,171,0.89
10.300,1.33985E-4,172,0.89
10.350,1.34620E-4,173,1.02
10.400,1.35890E-4,175,1.14
10.450,1.36525E-4,175,1.14
10.500,1.37795E-4,177,1.02
10.550,1.38430E-4,178,1.02
10.600,1.39065E-4,179,0.89
10.650,1.40335E-4,180,0.76
10.700,1.40335E-4,181,0.64
10.750,1.40970E-4,182,0.64
10.800,1.41605E-4,183,0.76
10.850,1.42240E-4,184,0.76
10.900,1.42875E-4,185,0.76
10.950,1.43510E-4,186,0.89
11.000,1.44145E-4,187,1.02
11.050,1.45415E-4,188,1.02
11.100,1.46050E-4,189,0.89
11.150,1.46685E-4,191,0.63
11.200,1.47320E-4,191,0.51
11.250,1.47320E-4,191,0.63
11.300,1.47955E-4,193,1.02
11.350,1.49225E-4,194,1.27
11.400,1.50495E-4,194,1.27
11.450,1.51130E-4,196,1.27
11.500,1.52400E-4,197,1.27
11.550,1.53670E-4,197,1.14
11.600,1.54305E-4,197,2.41
11.650,1.54940E-4,191,5.59
11.700,1.63195E-4,-20,7.37
11.750,1.72720E-4,-20,5.71
11.800,1.73355E-4,-20,2.16
11.850,1.73355E-4,-19,0.13
11.900,1.73355E-4,-19,0.00
11.950,1.73355E-4,-19,0.00
12.000,1.73355E-4,-19,0.00
12.050,1.73355E-4,-19,0.00
12.100,1.73355E-4,-19,0.00
12.150,1.73355E-4,-18,0.00
12.200,1.73355E-4,-19,0.00
12.250,1.73355E-4,-19,0.00
12.300,1.73355E-4,-19,0.00
12.350,1.73355E-4,-19,0.00
12.400,1.73355E-4,-19,0.00
12.450,1.73355E-4,-19,0.00
12.500,1.73355E-4,-19,0.00
12.550,1.73355E-4,-19,0.00
12.600,1.73355E-4,-19,0.00
12.650,1.73355E-4,-19,0.00
12.700,1.73355E-4,-19,0.00
12.750,1.73355E-4,-19,0.00
