"Material","Ancho","Largo","Espesor"
"P1",3.026,10.155,0.84
"P2",3.074,10.16,0.892
"P3",3.062,10.252,0.902
"P4",2.981,10.209,0.9
"P5",3.095,10.23,0.898
"P6",3.125,10.055,0.898
"P7",3.07,10.222,0.9
"P8",3.053,10.212,0.898
"P9",3.083,10.221,0.9
"P10",3.028,10.085,0.886
