"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,1,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,1,0.00
1.200,0.00000,0,0.00
1.250,0.00000,1,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,0,0.00
1.500,0.00000,1,0.00
1.550,0.00000,0,0.00
1.600,0.00000,0,0.00
1.650,0.00000,0,0.00
1.700,0.00000,1,0.00
1.750,0.00000,0,0.00
1.800,0.00000,0,0.00
1.850,0.00000,0,0.00
1.900,0.00000,1,0.00
1.950,0.00000,1,0.00
2.000,0.00000,1,0.00
2.050,0.00000,1,0.00
2.100,0.00000,1,0.00
2.150,0.00000,1,0.00
2.200,0.00000,0,0.00
2.250,0.00000,0,0.00
2.300,0.00000,0,0.00
2.350,0.00000,0,0.00
2.400,0.00000,0,0.00
2.450,0.00000,0,0.00
2.500,0.00000,0,0.00
2.550,0.00000,0,0.00
2.600,0.00000,0,0.00
2.650,0.00000,0,0.00
2.700,0.00000,0,0.00
2.750,0.00000,0,0.00
2.800,0.00000,0,0.00
2.850,0.00000,0,0.00
2.900,0.00000,0,0.00
2.950,0.00000,0,0.00
3.000,0.00000,0,0.00
3.050,0.00000,0,0.00
3.100,0.00000,1,0.00
3.150,0.00000,0,0.00
3.200,0.00000,0,0.00
3.250,0.00000,0,0.00
3.300,0.00000,0,0.00
3.350,0.00000,1,0.00
3.400,0.00000,1,0.00
3.450,0.00000,0,0.00
3.500,0.00000,0,0.00
3.550,0.00000,1,0.00
3.600,0.00000,0,0.00
3.650,0.00000,0,0.00
3.700,0.00000,1,0.00
3.750,0.00000,1,0.00
3.800,0.00000,1,0.13
3.850,0.00000,1,0.25
3.900,6.35000E-7,1,0.25
3.950,6.35000E-7,1,0.13
4.000,6.35000E-7,1,0.13
4.050,6.35000E-7,1,0.38
4.100,1.27000E-6,1,0.63
4.150,1.90500E-6,2,0.76
4.200,2.54000E-6,3,0.64
4.250,3.17500E-6,3,0.38
4.300,3.17500E-6,3,0.13
4.350,3.17500E-6,3,0.00
4.400,3.17500E-6,3,0.00
4.450,3.17500E-6,4,0.00
4.500,3.17500E-6,3,0.00
4.550,3.17500E-6,3,0.13
4.600,3.17500E-6,4,0.25
4.650,3.81000E-6,3,0.25
4.700,3.81000E-6,4,0.25
4.750,3.81000E-6,3,0.25
4.800,4.44500E-6,4,0.38
4.850,4.44500E-6,4,0.38
4.900,5.08000E-6,4,0.38
4.950,5.08000E-6,4,0.51
5.000,5.71500E-6,5,0.51
5.050,6.35000E-6,5,0.63
5.100,6.35000E-6,6,0.63
5.150,7.62000E-6,6,0.51
5.200,7.62000E-6,7,0.25
5.250,7.62000E-6,6,0.13
5.300,7.62000E-6,7,0.25
5.350,8.25500E-6,6,0.25
5.400,8.25500E-6,7,0.13
5.450,8.25500E-6,7,0.00
5.500,8.25500E-6,7,0.00
5.550,8.25500E-6,8,0.00
5.600,8.25500E-6,7,0.13
5.650,8.25500E-6,8,0.25
5.700,8.89000E-6,7,0.25
5.750,8.89000E-6,7,0.13
5.800,8.89000E-6,7,0.13
5.850,8.89000E-6,8,0.38
5.900,9.52500E-6,8,0.63
5.950,1.01600E-5,9,0.64
6.000,1.07950E-5,9,0.51
6.050,1.07950E-5,9,0.51
6.100,1.14300E-5,9,0.51
6.150,1.20650E-5,10,0.38
6.200,1.20650E-5,9,0.13
6.250,1.20650E-5,10,0.13
6.300,1.20650E-5,10,0.38
6.350,1.27000E-5,11,0.51
6.400,1.33350E-5,11,0.38
6.450,1.33350E-5,11,0.13
6.500,1.33350E-5,12,0.13
6.550,1.33350E-5,11,0.25
6.600,1.39700E-5,11,0.38
6.650,1.39700E-5,11,0.38
6.700,1.46050E-5,12,0.38
6.750,1.46050E-5,11,0.38
6.800,1.52400E-5,12,0.25
6.850,1.52400E-5,13,0.13
6.900,1.52400E-5,12,0.00
6.950,1.52400E-5,13,0.00
7.000,1.52400E-5,13,0.13
7.050,1.52400E-5,13,0.25
7.100,1.58750E-5,13,0.25
7.150,1.58750E-5,13,0.13
7.200,1.58750E-5,13,0.00
7.250,1.58750E-5,12,0.00
7.300,1.58750E-5,13,0.13
7.350,1.58750E-5,13,0.25
7.400,1.65100E-5,13,0.38
7.450,1.65100E-5,13,0.38
7.500,1.71450E-5,13,0.25
7.550,1.71450E-5,14,0.25
7.600,1.71450E-5,13,0.25
7.650,1.77800E-5,15,0.25
7.700,1.77800E-5,14,0.13
7.750,1.77800E-5,15,0.00
7.800,1.77800E-5,14,0.00
7.850,1.77800E-5,15,0.00
7.900,1.77800E-5,15,0.00
7.950,1.77800E-5,15,0.00
8.000,1.77800E-5,14,0.00
8.050,1.77800E-5,15,0.13
8.100,1.77800E-5,15,0.38
8.150,1.84150E-5,15,0.63
8.200,1.90500E-5,16,0.89
8.250,1.96850E-5,16,1.02
8.300,2.09550E-5,17,1.14
8.350,2.15900E-5,18,1.40
8.400,2.28600E-5,18,2.16
8.450,2.47650E-5,20,2.92
8.500,2.85750E-5,22,2.79
8.550,3.04800E-5,25,1.78
8.600,3.11150E-5,26,0.64
8.650,3.11150E-5,25,0.13
8.700,3.11150E-5,25,0.00
8.750,3.11150E-5,26,0.00
8.800,3.11150E-5,26,0.00
8.850,3.11150E-5,26,0.00
8.900,3.11150E-5,26,0.00
8.950,3.11150E-5,25,0.00
9.000,3.11150E-5,26,0.00
9.050,3.11150E-5,25,0.00
9.100,3.11150E-5,25,0.00
9.150,3.11150E-5,25,0.00
9.200,3.11150E-5,26,0.00
9.250,3.11150E-5,26,0.00
9.300,3.11150E-5,26,0.13
9.350,3.11150E-5,26,0.25
9.400,3.17500E-5,26,0.25
9.450,3.17500E-5,26,0.13
9.500,3.17500E-5,26,0.00
9.550,3.17500E-5,26,0.00
9.600,3.17500E-5,25,0.00
9.650,3.17500E-5,26,0.13
9.700,3.17500E-5,26,0.38
9.750,3.23850E-5,26,0.64
9.800,3.30200E-5,27,0.76
9.850,3.36550E-5,27,0.63
9.900,3.42900E-5,28,0.38
9.950,3.42900E-5,27,0.25
10.000,3.42900E-5,29,0.25
10.050,3.49250E-5,29,0.51
10.100,3.49250E-5,28,0.63
10.150,3.61950E-5,30,0.63
10.200,3.61950E-5,30,0.51
10.250,3.68300E-5,31,0.25
10.300,3.68300E-5,30,0.13
10.350,3.68300E-5,30,0.13
10.400,3.68300E-5,30,0.25
10.450,3.74650E-5,30,0.25
10.500,3.74650E-5,32,0.13
10.550,3.74650E-5,31,0.13
10.600,3.74650E-5,31,0.38
10.650,3.81000E-5,32,0.64
10.700,3.87350E-5,32,0.64
10.750,3.93700E-5,32,0.51
10.800,3.93700E-5,33,0.38
10.850,4.00050E-5,33,0.25
10.900,4.00050E-5,33,0.25
10.950,4.00050E-5,33,0.38
11.000,4.06400E-5,33,0.51
11.050,4.12750E-5,34,0.51
11.100,4.12750E-5,35,0.38
11.150,4.19100E-5,35,0.38
11.200,4.19100E-5,35,0.38
11.250,4.25450E-5,35,0.25
11.300,4.25450E-5,36,0.13
11.350,4.25450E-5,35,0.13
11.400,4.25450E-5,35,0.51
11.450,4.31800E-5,36,1.02
11.500,4.44500E-5,37,1.27
11.550,4.57200E-5,38,1.02
11.600,4.63550E-5,39,0.64
11.650,4.63550E-5,39,0.38
11.700,4.69900E-5,39,0.25
11.750,4.69900E-5,39,0.13
11.800,4.69900E-5,39,0.00
11.850,4.69900E-5,40,0.13
11.900,4.69900E-5,40,0.25
11.950,4.76250E-5,40,0.38
12.000,4.76250E-5,39,0.38
12.050,4.82600E-5,40,0.38
12.100,4.82600E-5,40,0.38
12.150,4.88950E-5,41,0.38
12.200,4.88950E-5,41,0.51
12.250,4.95300E-5,41,0.51
12.300,5.01650E-5,42,0.38
12.350,5.01650E-5,43,0.25
12.400,5.01650E-5,42,0.25
12.450,5.08000E-5,42,0.25
12.500,5.08000E-5,43,0.13
12.550,5.08000E-5,43,0.00
12.600,5.08000E-5,43,0.00
12.650,5.08000E-5,43,0.00
12.700,5.08000E-5,42,0.13
12.750,5.08000E-5,43,0.25
12.800,5.14350E-5,44,0.38
12.850,5.14350E-5,43,0.51
12.900,5.20700E-5,43,0.51
12.950,5.27050E-5,44,0.51
13.000,5.27050E-5,44,0.51
