"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,1,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.13
1.350,0.00000,0,0.64
1.400,6.35000E-7,0,1.91
1.450,2.54000E-6,3,3.30
1.500,6.98500E-6,8,3.94
1.550,1.01600E-5,14,3.68
1.600,1.27000E-5,17,3.05
1.650,1.52400E-5,20,2.79
1.700,1.71450E-5,24,3.05
1.750,1.96850E-5,28,3.56
1.800,2.34950E-5,32,3.81
1.850,2.66700E-5,38,3.43
1.900,2.92100E-5,42,2.54
1.950,3.11150E-5,45,1.52
2.000,3.17500E-5,46,0.63
2.050,3.17500E-5,46,0.13
2.100,3.17500E-5,46,0.00
2.150,3.17500E-5,46,0.13
2.200,3.17500E-5,46,0.51
2.250,3.23850E-5,47,1.27
2.300,3.36550E-5,49,2.16
2.350,3.61950E-5,51,2.92
2.400,3.87350E-5,56,3.43
2.450,4.19100E-5,61,3.81
2.500,4.50850E-5,67,3.94
2.550,4.88950E-5,71,3.68
2.600,5.14350E-5,76,3.05
2.650,5.39750E-5,79,2.29
2.700,5.52450E-5,82,1.78
2.750,5.65150E-5,84,1.52
2.800,5.77850E-5,85,1.52
2.850,5.90550E-5,88,1.65
2.900,6.03250E-5,90,1.91
2.950,6.22300E-5,93,2.03
3.000,6.41350E-5,95,2.03
3.050,6.54050E-5,98,1.91
3.100,6.73100E-5,100,1.65
3.150,6.85800E-5,103,1.27
3.200,6.92150E-5,104,0.76
3.250,6.98500E-5,106,0.51
3.300,6.98500E-5,105,0.38
3.350,7.04850E-5,105,0.25
3.400,7.04850E-5,105,0.13
3.450,7.04850E-5,106,0.13
3.500,7.04850E-5,106,0.51
3.550,7.11200E-5,106,1.14
3.600,7.23900E-5,108,2.03
3.650,7.42950E-5,111,3.18
3.700,7.74700E-5,116,4.19
3.750,8.19150E-5,123,4.83
3.800,8.57250E-5,130,4.95
3.850,9.01700E-5,136,4.70
3.900,9.39800E-5,142,4.19
3.950,9.71550E-5,148,3.56
4.000,9.96950E-5,152,3.17
4.050,1.02235E-4,156,3.05
4.100,1.04775E-4,160,2.92
4.150,1.07315E-4,164,2.67
4.200,1.09220E-4,168,2.29
4.250,1.11125E-4,171,1.91
4.300,1.12395E-4,173,1.78
4.350,1.13665E-4,175,2.03
4.400,1.15570E-4,178,2.29
4.450,1.18110E-4,182,2.29
4.500,1.19380E-4,184,2.03
4.550,1.21285E-4,187,1.65
4.600,1.22555E-4,189,1.52
4.650,1.23190E-4,191,1.78
4.700,1.25095E-4,193,2.54
4.750,1.27635E-4,197,3.43
4.800,1.30810E-4,202,4.19
4.850,1.34620E-4,208,4.83
4.900,1.39065E-4,214,5.08
4.950,1.43510E-4,221,4.83
5.000,1.47320E-4,228,4.19
5.050,1.50495E-4,234,3.18
5.100,1.53035E-4,238,2.03
5.150,1.53670E-4,239,1.27
5.200,1.54305E-4,240,1.27
5.250,1.55575E-4,241,1.90
5.300,1.57480E-4,244,3.05
5.350,1.60020E-4,248,4.57
5.400,1.65100E-4,255,5.84
5.450,1.70815E-4,263,7.37
5.500,1.75895E-4,272,10.54
5.550,1.86055E-4,-20,12.95
5.600,2.02565E-4,-22,11.18
5.650,2.08915E-4,-21,5.84
5.700,2.08915E-4,-22,1.27
5.750,2.08915E-4,-21,0.00
5.800,2.08915E-4,-22,0.00
5.850,2.08915E-4,-22,0.00
5.900,2.08915E-4,-22,0.00
5.950,2.08915E-4,-21,0.00
6.000,2.08915E-4,-22,0.00
6.050,2.08915E-4,-22,0.00
6.100,2.08915E-4,-22,0.00
6.150,2.08915E-4,-21,0.00
6.200,2.08915E-4,-22,0.00
6.250,2.08915E-4,-22,0.00
6.300,2.08915E-4,-21,0.00
6.350,2.08915E-4,-21,0.00
6.400,2.08915E-4,-22,0.00
6.450,2.08915E-4,-21,0.00
6.500,2.08915E-4,-21,0.00
6.550,2.08915E-4,-21,0.00
6.600,2.08915E-4,-21,0.00
6.650,2.08915E-4,-21,0.00
6.700,2.08915E-4,-21,0.00
6.750,2.08915E-4,-21,0.00
6.800,2.08915E-4,-21,0.00
6.850,2.08915E-4,-20,
