"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,1,0.00
0.100,0.00000,1,0.00
0.150,0.00000,1,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,1,0.00
0.500,0.00000,1,0.00
0.550,0.00000,1,0.00
0.600,0.00000,1,0.00
0.650,0.00000,0,0.00
0.700,0.00000,1,0.00
0.750,0.00000,1,0.00
0.800,0.00000,0,0.00
0.850,0.00000,1,0.00
0.900,0.00000,1,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.13
1.100,0.00000,2,0.25
1.150,6.35000E-7,3,0.38
1.200,6.35000E-7,4,0.38
1.250,1.27000E-6,5,0.25
1.300,1.27000E-6,6,0.13
1.350,1.27000E-6,5,0.00
1.400,1.27000E-6,6,0.13
1.450,1.27000E-6,6,0.38
1.500,1.90500E-6,7,0.76
1.550,2.54000E-6,10,0.89
1.600,3.81000E-6,12,0.76
1.650,3.81000E-6,13,0.51
1.700,4.44500E-6,14,0.38
1.750,4.44500E-6,15,0.51
1.800,5.08000E-6,17,0.51
1.850,5.71500E-6,19,0.38
1.900,5.71500E-6,19,0.13
1.950,5.71500E-6,19,0.00
2.000,5.71500E-6,19,0.13
2.050,5.71500E-6,20,0.38
2.100,6.35000E-6,20,0.51
2.150,6.98500E-6,22,0.51
2.200,6.98500E-6,24,0.51
2.250,7.62000E-6,25,0.51
2.300,8.25500E-6,26,0.38
2.350,8.25500E-6,27,0.25
2.400,8.25500E-6,27,0.38
2.450,8.89000E-6,29,0.63
2.500,9.52500E-6,31,0.89
2.550,1.01600E-5,33,1.40
2.600,1.14300E-5,35,1.90
2.650,1.39700E-5,43,1.91
2.700,1.52400E-5,50,1.40
2.750,1.58750E-5,52,0.76
2.800,1.65100E-5,53,0.38
2.850,1.65100E-5,52,0.13
2.900,1.65100E-5,53,0.13
2.950,1.65100E-5,53,0.25
3.000,1.71450E-5,54,0.38
3.050,1.71450E-5,55,0.38
3.100,1.77800E-5,55,0.25
3.150,1.77800E-5,57,0.25
3.200,1.77800E-5,57,0.38
3.250,1.84150E-5,58,0.64
3.300,1.90500E-5,60,0.76
3.350,1.96850E-5,62,0.63
3.400,2.03200E-5,63,0.38
3.450,2.03200E-5,64,0.25
3.500,2.03200E-5,65,0.25
3.550,2.09550E-5,65,0.38
3.600,2.09550E-5,66,0.38
3.650,2.15900E-5,67,0.38
3.700,2.15900E-5,67,0.38
3.750,2.22250E-5,69,0.38
3.800,2.22250E-5,71,0.51
3.850,2.28600E-5,72,0.63
3.900,2.34950E-5,73,0.64
3.950,2.41300E-5,75,0.51
4.000,2.41300E-5,76,0.51
4.050,2.47650E-5,78,0.51
4.100,2.54000E-5,79,0.51
4.150,2.54000E-5,80,0.38
4.200,2.60350E-5,81,0.25
4.250,2.60350E-5,82,0.13
4.300,2.60350E-5,82,0.13
4.350,2.60350E-5,82,0.25
4.400,2.66700E-5,82,0.25
4.450,2.66700E-5,82,0.13
4.500,2.66700E-5,83,0.00
4.550,2.66700E-5,83,0.00
4.600,2.66700E-5,83,0.13
4.650,2.66700E-5,84,0.25
4.700,2.73050E-5,84,0.25
4.750,2.73050E-5,85,0.13
4.800,2.73050E-5,86,0.00
4.850,2.73050E-5,86,0.13
4.900,2.73050E-5,87,0.25
4.950,2.79400E-5,86,0.25
5.000,2.79400E-5,86,0.13
5.050,2.79400E-5,87,0.00
5.100,2.79400E-5,87,0.00
5.150,2.79400E-5,88,0.00
5.200,2.79400E-5,87,0.00
5.250,2.79400E-5,87,0.13
5.300,2.79400E-5,88,0.25
5.350,2.85750E-5,89,0.25
5.400,2.85750E-5,88,0.13
5.450,2.85750E-5,88,0.00
5.500,2.85750E-5,89,0.00
5.550,2.85750E-5,89,0.00
5.600,2.85750E-5,89,0.00
5.650,2.85750E-5,89,0.00
5.700,2.85750E-5,89,0.00
5.750,2.85750E-5,90,0.00
5.800,2.85750E-5,89,0.00
5.850,2.85750E-5,89,0.00
5.900,2.85750E-5,90,0.13
5.950,2.85750E-5,90,0.25
6.000,2.92100E-5,90,0.25
6.050,2.92100E-5,91,0.13
6.100,2.92100E-5,91,0.00
6.150,2.92100E-5,92,0.13
6.200,2.92100E-5,92,0.25
6.250,2.98450E-5,91,0.25
6.300,2.98450E-5,92,0.13
6.350,2.98450E-5,93,0.00
6.400,2.98450E-5,94,0.00
6.450,2.98450E-5,92,0.00
6.500,2.98450E-5,93,0.13
6.550,2.98450E-5,93,0.25
6.600,3.04800E-5,95,0.25
6.650,3.04800E-5,96,0.25
6.700,3.04800E-5,96,0.25
6.750,3.11150E-5,97,0.38
6.800,3.11150E-5,98,0.38
6.850,3.17500E-5,99,0.25
6.900,3.17500E-5,99,0.13
6.950,3.17500E-5,100,0.13
7.000,3.17500E-5,101,0.25
7.050,3.23850E-5,101,0.25
7.100,3.23850E-5,100,0.13
7.150,3.23850E-5,101,0.00
7.200,3.23850E-5,101,0.00
7.250,3.23850E-5,100,0.00
7.300,3.23850E-5,101,0.00
7.350,3.23850E-5,102,0.00
7.400,3.23850E-5,102,0.00
7.450,3.23850E-5,102,0.00
7.500,3.23850E-5,102,0.00
7.550,3.23850E-5,103,0.13
7.600,3.23850E-5,102,0.25
7.650,3.30200E-5,103,0.25
7.700,3.30200E-5,103,0.13
7.750,3.30200E-5,103,0.00
7.800,3.30200E-5,104,0.00
7.850,3.30200E-5,104,0.13
7.900,3.30200E-5,104,0.25
7.950,3.36550E-5,106,0.25
8.000,3.36550E-5,105,0.13
8.050,3.36550E-5,105,0.00
8.100,3.36550E-5,105,0.00
8.150,3.36550E-5,106,0.13
8.200,3.36550E-5,107,0.25
8.250,3.42900E-5,107,0.25
8.300,3.42900E-5,108,0.13
8.350,3.42900E-5,109,0.13
8.400,3.42900E-5,109,0.25
8.450,3.49250E-5,109,0.25
8.500,3.49250E-5,109,0.13
8.550,3.49250E-5,110,0.00
8.600,3.49250E-5,110,0.00
8.650,3.49250E-5,110,0.00
8.700,3.49250E-5,109,0.00
8.750,3.49250E-5,110,0.00
8.800,3.49250E-5,110,0.00
8.850,3.49250E-5,110,0.00
8.900,3.49250E-5,110,0.00
8.950,3.49250E-5,111,0.13
9.000,3.49250E-5,110,0.25
9.050,3.55600E-5,111,0.25
9.100,3.55600E-5,111,0.13
9.150,3.55600E-5,112,0.00
9.200,3.55600E-5,112,0.00
9.250,3.55600E-5,112,0.00
9.300,3.55600E-5,112,0.00
9.350,3.55600E-5,113,0.13
9.400,3.55600E-5,114,0.25
9.450,3.61950E-5,113,0.25
9.500,3.61950E-5,113,0.13
9.550,3.61950E-5,114,0.13
9.600,3.61950E-5,115,0.25
9.650,3.68300E-5,116,0.25
9.700,3.68300E-5,117,0.25
9.750,3.68300E-5,118,0.25
9.800,3.74650E-5,117,0.25
9.850,3.74650E-5,118,0.13
9.900,3.74650E-5,119,0.00
9.950,3.74650E-5,119,0.13
10.000,3.74650E-5,119,0.25
10.050,3.81000E-5,120,0.25
10.100,3.81000E-5,121,0.13
10.150,3.81000E-5,121,0.00
10.200,3.81000E-5,122,0.13
10.250,3.81000E-5,122,0.25
10.300,3.87350E-5,122,0.25
10.350,3.87350E-5,123,0.13
10.400,3.87350E-5,124,0.00
10.450,3.87350E-5,123,0.13
10.500,3.87350E-5,124,0.25
10.550,3.93700E-5,125,0.38
10.600,3.93700E-5,126,0.38
10.650,4.00050E-5,127,0.25
10.700,4.00050E-5,127,0.13
10.750,4.00050E-5,128,0.13
10.800,4.00050E-5,129,0.25
10.850,4.06400E-5,129,0.25
10.900,4.06400E-5,130,0.13
10.950,4.06400E-5,131,0.13
11.000,4.06400E-5,131,0.25
11.050,4.12750E-5,131,0.25
11.100,4.12750E-5,131,0.13
11.150,4.12750E-5,132,0.00
11.200,4.12750E-5,132,0.00
11.250,4.12750E-5,133,0.13
11.300,4.12750E-5,133,0.25
11.350,4.19100E-5,133,0.25
11.400,4.19100E-5,134,0.13
11.450,4.19100E-5,135,0.13
11.500,4.19100E-5,135,0.25
11.550,4.25450E-5,136,0.38
11.600,4.25450E-5,137,0.38
11.650,4.31800E-5,138,0.25
11.700,4.31800E-5,139,0.25
11.750,4.31800E-5,140,0.25
11.800,4.38150E-5,141,0.25
11.850,4.38150E-5,141,0.13
11.900,4.38150E-5,141,0.00
11.950,4.38150E-5,141,0.13
12.000,4.38150E-5,142,0.25
12.050,4.44500E-5,142,0.25
12.100,4.44500E-5,143,0.13
12.150,4.44500E-5,143,0.00
12.200,4.44500E-5,144,0.13
12.250,4.44500E-5,145,0.25
12.300,4.50850E-5,146,0.25
12.350,4.50850E-5,146,0.13
12.400,4.50850E-5,148,0.13
12.450,4.50850E-5,147,0.25
12.500,4.57200E-5,147,0.25
12.550,4.57200E-5,147,0.13
12.600,4.57200E-5,147,0.00
12.650,4.57200E-5,147,0.00
12.700,4.57200E-5,148,0.00
12.750,4.57200E-5,148,0.00
12.800,4.57200E-5,148,0.13
12.850,4.57200E-5,149,0.25
12.900,4.63550E-5,149,0.25
12.950,4.63550E-5,150,0.13
13.000,4.63550E-5,150,0.13
13.050,4.63550E-5,151,0.25
13.100,4.69900E-5,152,0.25
13.150,4.69900E-5,152,0.13
13.200,4.69900E-5,152,0.00
13.250,4.69900E-5,152,0.00
13.300,4.69900E-5,152,0.13
13.350,4.69900E-5,153,0.38
13.400,4.76250E-5,156,0.51
13.450,4.82600E-5,157,0.51
13.500,4.82600E-5,158,0.38
13.550,4.88950E-5,159,0.38
13.600,4.88950E-5,161,0.38
13.650,4.95300E-5,162,0.25
13.700,4.95300E-5,162,0.25
13.750,4.95300E-5,162,0.38
13.800,5.01650E-5,164,0.51
13.850,5.08000E-5,166,0.51
13.900,5.08000E-5,168,0.38
13.950,5.14350E-5,168,0.25
14.000,5.14350E-5,168,0.13
14.050,5.14350E-5,168,0.00
14.100,5.14350E-5,169,0.13
14.150,5.14350E-5,169,0.25
14.200,5.20700E-5,170,0.25
14.250,5.20700E-5,171,0.13
14.300,5.20700E-5,171,0.13
14.350,5.20700E-5,171,0.25
14.400,5.27050E-5,172,0.25
14.450,5.27050E-5,174,0.25
14.500,5.27050E-5,174,0.25
14.550,5.33400E-5,175,0.25
14.600,5.33400E-5,175,0.13
14.650,5.33400E-5,176,0.13
14.700,5.33400E-5,177,0.25
14.750,5.39750E-5,177,0.38
14.800,5.39750E-5,178,0.38
14.850,5.46100E-5,179,0.38
14.900,5.46100E-5,180,0.38
