"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,1,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,1,0.00
0.500,0.00000,1,0.00
0.550,0.00000,1,0.00
0.600,0.00000,0,0.00
0.650,0.00000,1,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,1,0.00
0.900,0.00000,1,0.00
0.950,0.00000,1,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.00
1.350,0.00000,1,0.00
1.400,0.00000,0,0.00
1.450,0.00000,1,0.00
1.500,0.00000,1,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,1,0.00
1.700,0.00000,0,0.00
1.750,0.00000,1,0.00
1.800,0.00000,0,0.13
1.850,0.00000,0,0.51
1.900,6.35000E-7,0,1.02
1.950,1.90500E-6,3,1.52
2.000,3.17500E-6,5,1.90
2.050,5.08000E-6,8,2.16
2.100,6.98500E-6,11,2.03
2.150,8.89000E-6,12,1.52
2.200,9.52500E-6,13,1.02
2.250,1.01600E-5,14,0.63
2.300,1.07950E-5,16,0.38
2.350,1.07950E-5,16,0.13
2.400,1.07950E-5,16,0.00
2.450,1.07950E-5,16,0.00
2.500,1.07950E-5,15,0.00
2.550,1.07950E-5,15,0.00
2.600,1.07950E-5,16,0.00
2.650,1.07950E-5,15,0.13
2.700,1.07950E-5,16,0.25
2.750,1.14300E-5,15,0.38
2.800,1.14300E-5,16,0.63
2.850,1.20650E-5,17,0.76
2.900,1.33350E-5,18,0.76
2.950,1.33350E-5,20,0.64
3.000,1.39700E-5,20,0.51
3.050,1.46050E-5,21,0.38
3.100,1.46050E-5,20,0.13
3.150,1.46050E-5,20,0.00
3.200,1.46050E-5,21,0.00
3.250,1.46050E-5,20,0.13
3.300,1.46050E-5,20,0.25
3.350,1.52400E-5,21,0.25
3.400,1.52400E-5,22,0.25
3.450,1.52400E-5,22,0.25
3.500,1.58750E-5,23,0.38
3.550,1.58750E-5,23,0.51
3.600,1.65100E-5,24,0.63
3.650,1.71450E-5,24,0.76
3.700,1.77800E-5,25,0.64
3.750,1.84150E-5,26,0.51
3.800,1.84150E-5,27,0.51
3.850,1.90500E-5,27,0.51
3.900,1.96850E-5,28,0.38
3.950,1.96850E-5,28,0.25
4.000,1.96850E-5,28,0.25
4.050,2.03200E-5,29,0.25
4.100,2.03200E-5,29,0.25
4.150,2.03200E-5,30,0.25
4.200,2.09550E-5,30,0.25
4.250,2.09550E-5,30,0.25
4.300,2.09550E-5,31,0.25
4.350,2.15900E-5,31,0.38
4.400,2.15900E-5,31,0.38
4.450,2.22250E-5,32,0.38
4.500,2.22250E-5,32,0.38
4.550,2.28600E-5,33,0.38
4.600,2.28600E-5,33,0.51
4.650,2.34950E-5,34,0.64
4.700,2.41300E-5,35,0.76
4.750,2.47650E-5,36,0.76
4.800,2.54000E-5,37,0.63
4.850,2.60350E-5,38,0.51
4.900,2.60350E-5,38,0.38
4.950,2.66700E-5,39,0.25
5.000,2.66700E-5,39,0.25
5.050,2.66700E-5,39,0.25
5.100,2.73050E-5,39,0.25
5.150,2.73050E-5,40,0.25
5.200,2.73050E-5,41,0.38
5.250,2.79400E-5,41,0.63
5.300,2.85750E-5,42,0.76
5.350,2.92100E-5,42,0.76
5.400,2.98450E-5,44,0.76
5.450,3.04800E-5,45,0.76
5.500,3.11150E-5,45,0.63
5.550,3.17500E-5,46,0.51
5.600,3.17500E-5,48,0.51
5.650,3.23850E-5,48,0.51
5.700,3.30200E-5,48,0.51
5.750,3.30200E-5,49,0.38
5.800,3.36550E-5,49,0.38
5.850,3.36550E-5,50,0.38
5.900,3.42900E-5,51,0.25
5.950,3.42900E-5,51,0.25
6.000,3.42900E-5,51,0.25
6.050,3.49250E-5,52,0.38
6.100,3.49250E-5,52,0.51
6.150,3.55600E-5,53,0.64
6.200,3.61950E-5,54,0.76
6.250,3.68300E-5,55,0.76
6.300,3.74650E-5,56,0.64
6.350,3.81000E-5,57,0.51
6.400,3.81000E-5,57,0.38
6.450,3.87350E-5,58,0.25
6.500,3.87350E-5,58,0.13
6.550,3.87350E-5,58,0.00
6.600,3.87350E-5,58,0.00
6.650,3.87350E-5,58,0.13
6.700,3.87350E-5,58,0.25
6.750,3.93700E-5,59,0.38
6.800,3.93700E-5,59,0.51
6.850,4.00050E-5,59,0.64
6.900,4.06400E-5,60,0.76
6.950,4.12750E-5,61,0.76
7.000,4.19100E-5,63,0.64
7.050,4.25450E-5,63,0.51
7.100,4.25450E-5,64,0.38
7.150,4.31800E-5,65,0.38
7.200,4.31800E-5,66,0.38
7.250,4.38150E-5,66,0.25
7.300,4.38150E-5,66,0.13
7.350,4.38150E-5,66,0.13
7.400,4.38150E-5,66,0.38
7.450,4.44500E-5,66,0.76
7.500,4.50850E-5,68,1.02
7.550,4.63550E-5,69,1.02
7.600,4.69900E-5,71,0.76
7.650,4.76250E-5,71,0.51
7.700,4.76250E-5,72,0.38
7.750,4.82600E-5,72,0.25
7.800,4.82600E-5,72,0.25
7.850,4.82600E-5,73,0.25
7.900,4.88950E-5,73,0.25
7.950,4.88950E-5,73,0.25
8.000,4.88950E-5,74,0.25
8.050,4.95300E-5,74,0.38
8.100,4.95300E-5,75,0.51
8.150,5.01650E-5,75,0.64
8.200,5.08000E-5,77,0.76
8.250,5.14350E-5,78,0.76
8.300,5.20700E-5,79,0.76
8.350,5.27050E-5,79,0.76
8.400,5.33400E-5,81,0.76
8.450,5.39750E-5,82,0.76
8.500,5.46100E-5,83,0.76
8.550,5.52450E-5,84,0.76
8.600,5.58800E-5,84,0.76
8.650,5.65150E-5,85,0.76
8.700,5.71500E-5,86,0.76
8.750,5.77850E-5,87,0.76
8.800,5.84200E-5,88,0.89
8.850,5.90550E-5,90,1.02
8.900,6.03250E-5,91,1.14
8.950,6.09600E-5,93,1.14
9.000,6.22300E-5,95,1.02
9.050,6.28650E-5,96,0.89
9.100,6.35000E-5,97,0.76
9.150,6.41350E-5,98,0.89
9.200,6.47700E-5,99,1.02
9.250,6.60400E-5,100,1.02
9.300,6.66750E-5,102,0.89
9.350,6.73100E-5,103,0.76
9.400,6.79450E-5,104,0.76
9.450,6.85800E-5,105,0.89
9.500,6.92150E-5,106,1.02
9.550,7.04850E-5,108,1.02
9.600,7.11200E-5,109,0.76
9.650,7.17550E-5,110,0.38
9.700,7.17550E-5,111,0.25
9.750,7.17550E-5,111,0.25
9.800,7.23900E-5,111,0.25
9.850,7.23900E-5,112,0.25
9.900,7.23900E-5,111,0.38
9.950,7.30250E-5,112,0.51
10.000,7.36600E-5,113,0.51
10.050,7.36600E-5,114,0.51
10.100,7.42950E-5,114,0.63
10.150,7.49300E-5,115,0.76
10.200,7.55650E-5,117,0.76
10.250,7.62000E-5,117,0.76
10.300,7.68350E-5,118,0.76
10.350,7.74700E-5,119,0.76
10.400,7.81050E-5,120,0.63
10.450,7.87400E-5,121,0.51
10.500,7.87400E-5,122,0.51
10.550,7.93750E-5,122,0.51
10.600,8.00100E-5,123,0.51
10.650,8.00100E-5,123,0.38
10.700,8.06450E-5,123,0.25
10.750,8.06450E-5,125,0.13
10.800,8.06450E-5,125,0.13
10.850,8.06450E-5,125,0.38
10.900,8.12800E-5,125,0.63
10.950,8.19150E-5,126,0.76
11.000,8.25500E-5,127,0.76
11.050,8.31850E-5,130,0.63
11.100,8.38200E-5,129,0.38
11.150,8.38200E-5,130,0.25
11.200,8.38200E-5,130,0.25
11.250,8.44550E-5,130,0.25
11.300,8.44550E-5,131,0.13
11.350,8.44550E-5,131,0.13
11.400,8.44550E-5,131,0.25
11.450,8.50900E-5,132,0.25
11.500,8.50900E-5,131,0.13
11.550,8.50900E-5,130,0.00
11.600,8.50900E-5,131,0.13
11.650,8.50900E-5,131,0.76
11.700,8.57250E-5,133,1.78
11.750,8.82650E-5,136,2.67
11.800,9.08050E-5,141,2.67
11.850,9.33450E-5,145,1.78
11.900,9.39800E-5,147,0.76
11.950,9.39800E-5,147,0.13
12.000,9.39800E-5,147,0.00
12.050,9.39800E-5,147,0.00
12.100,9.39800E-5,146,0.00
12.150,9.39800E-5,147,0.00
12.200,9.39800E-5,147,0.00
12.250,9.39800E-5,147,0.00
12.300,9.39800E-5,146,0.00
12.350,9.39800E-5,146,0.00
12.400,9.39800E-5,147,0.00
12.450,9.39800E-5,147,0.13
12.500,9.39800E-5,146,0.25
12.550,9.46150E-5,146,0.25
12.600,9.46150E-5,147,0.13
12.650,9.46150E-5,147,0.00
