"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,1,0.00
0.100,0.00000,0,0.00
0.150,0.00000,1,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,1,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.13
0.850,0.00000,0,0.38
0.900,6.35000E-7,0,0.76
0.950,1.27000E-6,1,1.27
1.000,2.54000E-6,2,1.65
1.050,4.44500E-6,4,1.78
1.100,5.71500E-6,5,1.65
1.150,6.98500E-6,6,1.52
1.200,8.25500E-6,8,1.52
1.250,9.52500E-6,7,1.65
1.300,1.07950E-5,10,2.03
1.350,1.27000E-5,11,2.54
1.400,1.52400E-5,13,2.54
1.450,1.77800E-5,15,1.78
1.500,1.84150E-5,16,0.76
1.550,1.84150E-5,16,0.25
1.600,1.84150E-5,16,0.51
1.650,1.90500E-5,17,1.40
1.700,2.03200E-5,18,3.05
1.750,2.34950E-5,19,4.45
1.800,2.92100E-5,24,4.19
1.850,3.23850E-5,27,2.41
1.900,3.23850E-5,28,0.76
1.950,3.23850E-5,29,0.51
2.000,3.30200E-5,27,1.40
2.050,3.42900E-5,30,2.41
2.100,3.74650E-5,32,2.92
2.150,4.00050E-5,34,2.67
2.200,4.19100E-5,36,2.29
2.250,4.31800E-5,37,2.41
2.300,4.57200E-5,39,2.92
2.350,4.82600E-5,41,3.30
2.400,5.14350E-5,44,3.05
2.450,5.39750E-5,46,2.41
2.500,5.52450E-5,48,1.78
2.550,5.65150E-5,48,1.65
2.600,5.77850E-5,49,2.29
2.650,5.96900E-5,51,3.17
2.700,6.35000E-5,54,3.81
2.750,6.66750E-5,56,3.94
2.800,6.98500E-5,59,3.81
2.850,7.30250E-5,62,3.94
2.900,7.62000E-5,64,4.06
2.950,8.00100E-5,67,3.94
3.000,8.31850E-5,70,3.43
3.050,8.57250E-5,72,2.67
3.100,8.76300E-5,74,1.78
3.150,8.89000E-5,74,0.89
3.200,8.89000E-5,76,0.25
3.250,8.89000E-5,75,0.00
3.300,8.89000E-5,74,0.13
3.350,8.89000E-5,76,0.38
3.400,8.95350E-5,74,0.51
3.450,9.01700E-5,74,0.38
3.500,9.01700E-5,75,0.13
3.550,9.01700E-5,75,0.00
3.600,9.01700E-5,75,0.00
3.650,9.01700E-5,75,0.00
3.700,9.01700E-5,75,0.00
3.750,9.01700E-5,75,0.00
3.800,9.01700E-5,75,0.25
3.850,9.01700E-5,75,0.76
3.900,9.14400E-5,76,1.02
3.950,9.27100E-5,77,0.76
4.000,9.27100E-5,76,0.25
4.050,9.27100E-5,77,0.00
4.100,9.27100E-5,77,0.00
4.150,9.27100E-5,77,0.00
4.200,9.27100E-5,77,0.00
4.250,9.27100E-5,78,0.00
4.300,9.27100E-5,77,0.00
4.350,9.27100E-5,77,0.00
4.400,9.27100E-5,77,0.00
4.450,9.27100E-5,77,0.00
4.500,9.27100E-5,77,0.00
4.550,9.27100E-5,76,0.00
4.600,9.27100E-5,77,0.00
4.650,9.27100E-5,77,0.00
4.700,9.27100E-5,77,0.00
4.750,9.27100E-5,77,0.00
4.800,9.27100E-5,77,0.00
4.850,9.27100E-5,77,0.00
4.900,9.27100E-5,77,0.00
4.950,9.27100E-5,77,0.00
5.000,9.27100E-5,76,0.00
5.050,9.27100E-5,77,0.00
5.100,9.27100E-5,76,0.00
5.150,9.27100E-5,76,0.00
5.200,9.27100E-5,76,0.00
5.250,9.27100E-5,76,0.13
5.300,9.27100E-5,76,0.25
5.350,9.33450E-5,77,0.25
5.400,9.33450E-5,77,0.13
5.450,9.33450E-5,77,0.00
5.500,9.33450E-5,78,0.00
5.550,9.33450E-5,77,0.00
5.600,9.33450E-5,78,0.13
5.650,9.33450E-5,77,0.25
5.700,9.39800E-5,78,0.38
5.750,9.39800E-5,78,0.38
5.800,9.46150E-5,78,0.38
5.850,9.46150E-5,78,0.38
5.900,9.52500E-5,78,0.25
5.950,9.52500E-5,78,0.13
6.000,9.52500E-5,79,0.00
6.050,9.52500E-5,78,0.00
6.100,9.52500E-5,79,0.00
6.150,9.52500E-5,78,0.00
6.200,9.52500E-5,78,0.00
6.250,9.52500E-5,78,0.00
6.300,9.52500E-5,78,0.00
6.350,9.52500E-5,79,0.00
6.400,9.52500E-5,78,0.00
6.450,9.52500E-5,79,0.13
6.500,9.52500E-5,79,0.25
6.550,9.58850E-5,78,0.25
6.600,9.58850E-5,79,0.13
6.650,9.58850E-5,80,0.13
6.700,9.58850E-5,80,0.25
6.750,9.65200E-5,80,0.25
6.800,9.65200E-5,80,0.13
6.850,9.65200E-5,79,0.00
6.900,9.65200E-5,80,0.00
6.950,9.65200E-5,79,0.00
7.000,9.65200E-5,80,0.00
7.050,9.65200E-5,79,0.00
7.100,9.65200E-5,79,0.00
7.150,9.65200E-5,79,0.00
7.200,9.65200E-5,79,0.00
7.250,9.65200E-5,80,0.00
7.300,9.65200E-5,79,0.00
7.350,9.65200E-5,80,0.00
