"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,1,0.00
0.300,0.00000,1,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,0,0.00
0.500,0.00000,1,0.00
0.550,0.00000,0,0.00
0.600,0.00000,1,0.00
0.650,0.00000,1,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,1,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,1,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,1,0.00
1.300,0.00000,1,0.00
1.350,0.00000,1,0.00
1.400,0.00000,1,0.00
1.450,0.00000,0,0.00
1.500,0.00000,1,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,1,0.00
1.700,0.00000,1,0.00
1.750,0.00000,0,0.00
1.800,0.00000,0,0.00
1.850,0.00000,1,0.00
1.900,0.00000,1,0.00
1.950,0.00000,1,0.00
2.000,0.00000,1,0.00
2.050,0.00000,1,0.00
2.100,0.00000,0,0.00
2.150,0.00000,1,0.00
2.200,0.00000,0,0.00
2.250,0.00000,1,0.13
2.300,0.00000,1,0.25
2.350,6.35000E-7,1,0.38
2.400,6.35000E-7,2,0.51
2.450,1.27000E-6,3,0.63
2.500,1.90500E-6,3,0.64
2.550,2.54000E-6,4,0.51
2.600,2.54000E-6,5,0.51
2.650,3.17500E-6,5,0.64
2.700,3.81000E-6,6,0.63
2.750,4.44500E-6,7,0.51
2.800,4.44500E-6,7,0.51
2.850,5.08000E-6,8,0.63
2.900,5.71500E-6,9,0.76
2.950,6.35000E-6,9,0.63
3.000,6.98500E-6,11,0.51
3.050,6.98500E-6,11,0.51
3.100,7.62000E-6,12,0.63
3.150,8.25500E-6,12,0.76
3.200,8.89000E-6,13,0.76
3.250,9.52500E-6,14,0.64
3.300,1.01600E-5,15,0.51
3.350,1.01600E-5,15,0.38
3.400,1.07950E-5,16,0.25
3.450,1.07950E-5,17,0.13
3.500,1.07950E-5,16,0.00
3.550,1.07950E-5,17,0.13
3.600,1.07950E-5,17,0.51
3.650,1.14300E-5,16,1.27
3.700,1.27000E-5,19,2.16
3.750,1.52400E-5,21,2.54
3.800,1.77800E-5,25,2.03
3.850,1.90500E-5,27,1.14
3.900,1.90500E-5,28,0.64
3.950,1.96850E-5,28,0.89
4.000,2.03200E-5,29,1.40
4.050,2.22250E-5,31,1.65
4.100,2.34950E-5,33,1.78
4.150,2.47650E-5,35,1.78
4.200,2.66700E-5,38,1.78
4.250,2.79400E-5,39,1.65
4.300,2.92100E-5,42,1.40
4.350,3.04800E-5,44,1.14
4.400,3.11150E-5,45,0.89
4.450,3.17500E-5,45,0.76
4.500,3.23850E-5,47,0.89
4.550,3.30200E-5,48,1.02
4.600,3.42900E-5,49,1.02
4.650,3.49250E-5,50,0.89
4.700,3.55600E-5,51,0.76
4.750,3.61950E-5,51,0.64
4.800,3.68300E-5,52,0.64
4.850,3.68300E-5,53,0.76
4.900,3.81000E-5,53,0.89
4.950,3.87350E-5,55,0.89
5.000,3.93700E-5,57,0.76
5.050,4.00050E-5,57,0.76
5.100,4.06400E-5,58,0.76
5.150,4.12750E-5,59,0.76
5.200,4.19100E-5,60,0.64
5.250,4.25450E-5,60,0.51
5.300,4.25450E-5,60,0.38
5.350,4.31800E-5,61,0.38
5.400,4.31800E-5,62,0.38
5.450,4.38150E-5,62,0.25
5.500,4.38150E-5,62,0.25
5.550,4.38150E-5,62,0.25
5.600,4.44500E-5,62,0.38
5.650,4.44500E-5,63,0.38
5.700,4.50850E-5,63,0.25
5.750,4.50850E-5,64,0.25
5.800,4.50850E-5,64,0.25
5.850,4.57200E-5,65,0.25
5.900,4.57200E-5,65,0.25
5.950,4.57200E-5,65,0.25
6.000,4.63550E-5,65,0.25
6.050,4.63550E-5,66,0.25
6.100,4.63550E-5,66,0.25
6.150,4.69900E-5,66,0.38
6.200,4.69900E-5,66,0.38
6.250,4.76250E-5,67,0.38
6.300,4.76250E-5,67,0.51
6.350,4.82600E-5,69,0.51
6.400,4.88950E-5,69,0.51
6.450,4.88950E-5,69,0.38
6.500,4.95300E-5,69,0.25
6.550,4.95300E-5,70,0.13
6.600,4.95300E-5,70,0.00
6.650,4.95300E-5,71,0.00
6.700,4.95300E-5,70,0.13
6.750,4.95300E-5,70,0.25
6.800,5.01650E-5,71,0.25
6.850,5.01650E-5,71,0.25
6.900,5.01650E-5,71,0.25
6.950,5.08000E-5,71,0.25
7.000,5.08000E-5,72,0.13
7.050,5.08000E-5,71,0.13
7.100,5.08000E-5,72,0.38
7.150,5.14350E-5,72,0.51
7.200,5.20700E-5,73,0.51
7.250,5.20700E-5,73,0.38
7.300,5.27050E-5,75,0.38
7.350,5.27050E-5,75,0.38
7.400,5.33400E-5,75,0.25
7.450,5.33400E-5,75,0.25
7.500,5.33400E-5,75,0.25
7.550,5.39750E-5,75,0.25
7.600,5.39750E-5,76,0.25
7.650,5.39750E-5,77,0.25
7.700,5.46100E-5,77,0.38
7.750,5.46100E-5,77,0.38
7.800,5.52450E-5,77,0.38
7.850,5.52450E-5,79,0.38
7.900,5.58800E-5,79,0.38
7.950,5.58800E-5,80,0.38
8.000,5.65150E-5,80,0.38
8.050,5.65150E-5,80,0.38
8.100,5.71500E-5,81,0.25
8.150,5.71500E-5,80,0.25
8.200,5.71500E-5,82,0.25
8.250,5.77850E-5,81,0.25
8.300,5.77850E-5,82,0.13
8.350,5.77850E-5,82,0.00
8.400,5.77850E-5,82,0.13
8.450,5.77850E-5,82,0.25
8.500,5.84200E-5,82,0.25
8.550,5.84200E-5,82,0.13
8.600,5.84200E-5,83,0.13
8.650,5.84200E-5,82,0.25
8.700,5.90550E-5,83,0.25
8.750,5.90550E-5,83,0.25
8.800,5.90550E-5,84,0.25
8.850,5.96900E-5,84,0.25
8.900,5.96900E-5,84,0.13
8.950,5.96900E-5,85,0.13
9.000,5.96900E-5,85,0.25
9.050,6.03250E-5,85,0.38
9.100,6.03250E-5,85,0.38
9.150,6.09600E-5,85,0.25
9.200,6.09600E-5,86,0.13
9.250,6.09600E-5,86,0.00
9.300,6.09600E-5,86,0.13
9.350,6.09600E-5,86,0.25
9.400,6.15950E-5,87,0.25
9.450,6.15950E-5,87,0.25
9.500,6.15950E-5,87,0.25
9.550,6.22300E-5,86,0.38
9.600,6.22300E-5,88,0.38
9.650,6.28650E-5,88,0.38
9.700,6.28650E-5,89,0.38
9.750,6.35000E-5,89,0.25
9.800,6.35000E-5,90,0.25
9.850,6.35000E-5,89,0.25
9.900,6.41350E-5,90,0.38
9.950,6.41350E-5,90,0.38
10.000,6.47700E-5,91,0.38
10.050,6.47700E-5,91,0.51
10.100,6.54050E-5,92,0.51
10.150,6.60400E-5,93,0.51
10.200,6.60400E-5,94,0.38
10.250,6.66750E-5,94,0.38
10.300,6.66750E-5,94,0.38
10.350,6.73100E-5,95,0.38
10.400,6.73100E-5,95,0.38
10.450,6.79450E-5,96,0.38
10.500,6.79450E-5,97,0.38
10.550,6.85800E-5,96,0.38
10.600,6.85800E-5,97,0.38
10.650,6.92150E-5,97,0.38
10.700,6.92150E-5,97,0.38
10.750,6.98500E-5,99,0.25
10.800,6.98500E-5,99,0.25
10.850,6.98500E-5,99,0.25
10.900,7.04850E-5,100,0.25
10.950,7.04850E-5,100,0.13
11.000,7.04850E-5,99,0.13
11.050,7.04850E-5,100,0.25
11.100,7.11200E-5,100,0.25
11.150,7.11200E-5,101,0.13
11.200,7.11200E-5,100,0.00
11.250,7.11200E-5,100,0.00
11.300,7.11200E-5,100,0.00
11.350,7.11200E-5,100,0.00
11.400,7.11200E-5,100,0.13
11.450,7.11200E-5,101,0.25
11.500,7.17550E-5,101,0.38
11.550,7.17550E-5,102,0.51
11.600,7.23900E-5,101,0.63
11.650,7.30250E-5,102,0.64
11.700,7.36600E-5,104,0.51
11.750,7.36600E-5,104,0.38
11.800,7.42950E-5,104,0.38
11.850,7.42950E-5,105,0.38
11.900,7.49300E-5,106,0.38
11.950,7.49300E-5,106,0.38
12.000,7.55650E-5,107,0.38
12.050,7.55650E-5,107,0.51
12.100,7.62000E-5,108,0.63
12.150,7.68350E-5,109,0.64
12.200,7.74700E-5,109,0.51
12.250,7.74700E-5,109,0.38
12.300,7.81050E-5,110,0.25
12.350,7.81050E-5,110,0.25
12.400,7.81050E-5,110,0.38
12.450,7.87400E-5,111,0.51
12.500,7.93750E-5,112,0.51
12.550,7.93750E-5,112,0.51
12.600,8.00100E-5,113,0.63
12.650,8.06450E-5,113,0.63
12.700,8.12800E-5,114,0.51
12.750,8.12800E-5,115,0.51
