"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.13
0.250,0.00000,0,0.38
0.300,6.35000E-7,0,0.76
0.350,1.27000E-6,0,1.14
0.400,2.54000E-6,2,1.27
0.450,3.81000E-6,2,1.14
0.500,4.44500E-6,4,1.14
0.550,5.08000E-6,4,1.65
0.600,6.98500E-6,4,2.41
0.650,9.52500E-6,6,2.92
0.700,1.20650E-5,9,3.05
0.750,1.46050E-5,11,3.05
0.800,1.71450E-5,13,3.18
0.850,1.96850E-5,14,3.68
0.900,2.28600E-5,17,4.57
0.950,2.73050E-5,19,5.33
1.000,3.23850E-5,23,5.33
1.050,3.68300E-5,26,4.83
1.100,4.00050E-5,29,4.57
1.150,4.38150E-5,31,4.70
1.200,4.82600E-5,34,4.70
1.250,5.20700E-5,38,4.19
1.300,5.52450E-5,40,3.56
1.350,5.77850E-5,42,3.05
1.400,6.03250E-5,43,2.67
1.450,6.22300E-5,45,2.29
1.500,6.41350E-5,45,1.78
1.550,6.54050E-5,47,1.14
1.600,6.60400E-5,48,0.51
1.650,6.60400E-5,47,0.13
1.700,6.60400E-5,48,0.00
1.750,6.60400E-5,47,0.00
1.800,6.60400E-5,47,0.00
1.850,6.60400E-5,47,0.00
1.900,6.60400E-5,48,0.13
1.950,6.60400E-5,47,0.38
2.000,6.66750E-5,48,0.51
2.050,6.73100E-5,47,0.38
2.100,6.73100E-5,49,0.13
2.150,6.73100E-5,48,0.00
2.200,6.73100E-5,48,0.00
2.250,6.73100E-5,48,0.00
2.300,6.73100E-5,48,0.00
2.350,6.73100E-5,48,0.00
2.400,6.73100E-5,47,0.00
2.450,6.73100E-5,48,0.00
2.500,6.73100E-5,48,0.00
2.550,6.73100E-5,48,0.00
2.600,6.73100E-5,48,0.00
2.650,6.73100E-5,48,0.13
2.700,6.73100E-5,47,0.25
2.750,6.79450E-5,48,0.25
2.800,6.79450E-5,47,0.13
2.850,6.79450E-5,48,0.00
2.900,6.79450E-5,48,0.13
2.950,6.79450E-5,49,0.25
3.000,6.85800E-5,48,0.38
3.050,6.85800E-5,48,0.38
3.100,6.92150E-5,49,0.38
3.150,6.92150E-5,49,0.51
3.200,6.98500E-5,50,0.63
3.250,7.04850E-5,50,0.63
3.300,7.11200E-5,51,0.51
3.350,7.11200E-5,51,0.51
3.400,7.17550E-5,51,0.63
3.450,7.23900E-5,52,0.76
3.500,7.30250E-5,51,0.63
3.550,7.36600E-5,52,0.51
3.600,7.36600E-5,52,0.38
3.650,7.42950E-5,52,0.25
3.700,7.42950E-5,52,0.25
3.750,7.42950E-5,53,0.25
3.800,7.49300E-5,53,0.38
3.850,7.49300E-5,53,0.38
3.900,7.55650E-5,53,0.25
3.950,7.55650E-5,53,0.25
4.000,7.55650E-5,53,0.25
4.050,7.62000E-5,54,0.38
4.100,7.62000E-5,53,0.51
4.150,7.68350E-5,54,0.63
4.200,7.74700E-5,54,0.76
4.250,7.81050E-5,55,0.63
4.300,7.87400E-5,55,0.38
4.350,7.87400E-5,55,0.13
4.400,7.87400E-5,56,0.13
4.450,7.87400E-5,55,0.25
4.500,7.93750E-5,56,0.38
4.550,7.93750E-5,56,0.38
4.600,8.00100E-5,56,0.25
4.650,8.00100E-5,56,0.25
4.700,8.00100E-5,57,0.38
4.750,8.06450E-5,56,0.51
4.800,8.12800E-5,57,0.38
4.850,8.12800E-5,57,0.13
4.900,8.12800E-5,57,0.13
4.950,8.12800E-5,57,0.25
5.000,8.19150E-5,57,0.38
5.050,8.19150E-5,58,0.38
5.100,8.25500E-5,58,0.25
5.150,8.25500E-5,57,0.13
5.200,8.25500E-5,58,0.13
5.250,8.25500E-5,58,0.25
5.300,8.31850E-5,58,0.25
5.350,8.31850E-5,58,0.51
5.400,8.31850E-5,58,1.14
5.450,8.50900E-5,59,1.65
5.500,8.69950E-5,60,1.40
5.550,8.76300E-5,62,0.64
5.600,8.76300E-5,61,0.13
5.650,8.76300E-5,62,0.00
5.700,8.76300E-5,62,0.00
5.750,8.76300E-5,62,0.00
5.800,8.76300E-5,61,0.00
5.850,8.76300E-5,61,0.00
5.900,8.76300E-5,62,0.00
5.950,8.76300E-5,62,0.00
6.000,8.76300E-5,61,0.13
6.050,8.76300E-5,61,0.25
6.100,8.82650E-5,61,0.25
6.150,8.82650E-5,62,0.13
6.200,8.82650E-5,62,0.13
6.250,8.82650E-5,62,0.25
6.300,8.89000E-5,62,0.25
6.350,8.89000E-5,62,0.25
6.400,8.89000E-5,62,0.25
6.450,8.95350E-5,63,0.38
6.500,8.95350E-5,62,0.38
6.550,9.01700E-5,62,0.25
6.600,9.01700E-5,63,0.25
6.650,9.01700E-5,63,0.25
6.700,9.08050E-5,63,0.25
6.750,9.08050E-5,63,0.13
6.800,9.08050E-5,63,0.00
6.850,9.08050E-5,63,0.13
6.900,9.08050E-5,64,0.25
6.950,9.14400E-5,64,0.25
7.000,9.14400E-5,63,0.13
7.050,9.14400E-5,64,0.00
7.100,9.14400E-5,64,0.00
7.150,9.14400E-5,63,0.00
7.200,9.14400E-5,63,0.00
7.250,9.14400E-5,63,0.00
7.300,9.14400E-5,64,0.00
7.350,9.14400E-5,64,0.00
7.400,9.14400E-5,64,0.00
7.450,9.14400E-5,64,0.00
7.500,9.14400E-5,64,0.00
7.550,9.14400E-5,64,0.00
7.600,9.14400E-5,64,0.00
7.650,9.14400E-5,64,0.00
7.700,9.14400E-5,64,0.00
7.750,9.14400E-5,64,0.00
7.800,9.14400E-5,64,0.00
7.850,9.14400E-5,64,0.00
7.900,9.14400E-5,64,0.00
7.950,9.14400E-5,64,0.00
8.000,9.14400E-5,64,0.00
8.050,9.14400E-5,64,0.00
8.100,9.14400E-5,64,0.00
8.150,9.14400E-5,64,0.00
8.200,9.14400E-5,64,0.25
8.250,9.14400E-5,64,0.76
8.300,9.27100E-5,65,1.40
8.350,9.39800E-5,65,1.90
8.400,9.58850E-5,67,1.91
8.450,9.77900E-5,69,1.52
8.500,9.84250E-5,69,0.89
8.550,9.90600E-5,69,0.51
8.600,9.90600E-5,70,0.38
8.650,9.96950E-5,70,0.38
8.700,9.96950E-5,70,0.51
8.750,1.00330E-4,69,0.63
8.800,1.00965E-4,70,0.89
8.850,1.01600E-4,70,1.14
8.900,1.02870E-4,72,1.27
8.950,1.04140E-4,73,1.14
9.000,1.04775E-4,73,1.02
9.050,1.05410E-4,73,1.02
9.100,1.06680E-4,74,1.02
9.150,1.07315E-4,75,1.02
9.200,1.07950E-4,76,1.02
9.250,1.09220E-4,76,1.02
9.300,1.09855E-4,76,1.02
9.350,1.10490E-4,78,1.14
9.400,1.11760E-4,78,1.27
9.450,1.13030E-4,79,1.14
9.500,1.13665E-4,79,0.89
9.550,1.14300E-4,79,0.76
9.600,1.14935E-4,79,0.76
9.650,1.15570E-4,80,0.76
9.700,1.16205E-4,80,0.89
9.750,1.16840E-4,81,1.14
9.800,1.18110E-4,82,1.27
9.850,1.19380E-4,83,1.02
9.900,1.20015E-4,83,0.51
9.950,1.20015E-4,83,0.25
10.000,1.20015E-4,83,0.38
10.050,1.20650E-4,84,0.76
10.100,1.21285E-4,84,1.14
10.150,1.22555E-4,85,1.14
10.200,1.23825E-4,86,0.76
10.250,1.23825E-4,86,0.38
10.300,1.23825E-4,86,0.25
10.350,1.24460E-4,86,0.25
10.400,1.24460E-4,86,0.25
10.450,1.24460E-4,86,0.38
10.500,1.25095E-4,86,0.51
10.550,1.25730E-4,87,0.51
10.600,1.25730E-4,87,0.51
10.650,1.26365E-4,87,0.51
10.700,1.27000E-4,87,0.51
10.750,1.27000E-4,88,0.51
10.800,1.27635E-4,88,0.64
10.850,1.28270E-4,89,0.63
10.900,1.28905E-4,89,0.38
10.950,1.28905E-4,89,0.25
11.000,1.28905E-4,89,0.25
11.050,1.29540E-4,89,0.38
11.100,1.29540E-4,89,0.51
11.150,1.30175E-4,90,0.51
11.200,1.30810E-4,91,0.38
11.250,1.30810E-4,90,0.25
11.300,1.30810E-4,91,0.25
11.350,1.31445E-4,91,0.38
11.400,1.31445E-4,92,0.51
11.450,1.32080E-4,92,0.63
11.500,1.32715E-4,91,0.76
11.550,1.33350E-4,92,0.64
11.600,1.33985E-4,92,0.51
11.650,1.33985E-4,93,0.51
11.700,1.34620E-4,93,0.51
11.750,1.35255E-4,93,0.51
11.800,1.35255E-4,93,0.38
11.850,1.35890E-4,94,0.25
11.900,1.35890E-4,94,0.25
11.950,1.35890E-4,94,0.25
12.000,1.36525E-4,94,0.25
12.050,1.36525E-4,95,0.13
12.100,1.36525E-4,94,0.13
12.150,1.36525E-4,95,0.38
12.200,1.37160E-4,95,0.63
12.250,1.37795E-4,95,0.63
12.300,1.38430E-4,95,0.38
12.350,1.38430E-4,96,0.25
12.400,1.38430E-4,96,0.25
