"Material","Ancho","Largo","Espesor"
"B1",3.11,9.998,0.615
"B2",3.042,10.17,0.641
"B3",3.064,10.16,0.636
"B4",3.038,10.123,0.645
"B5",3.04,10.188,0.638
"B6",2.851,10.103,0.633
"B7",3.089,10.206,0.639
"B8",3.049,10.175,0.647
"B9",3.149,10.164,0.641
"B10",3.119,10.117,0.647
