"Material","Ancho","Largo","Espesor"
"P1","3.026 cm","10.155 cm","0.840 cm"
"P2","3.074 cm","10.160 cm","0.892 cm"
"P3","3.062 cm","10.252 cm","0.902 cm"
"P4","2.981 cm","10.209 cm","0.900 cm"
"P5","3.095 cm","10.230 cm","0.898 cm"
"P6","3.125 cm","10.055 cm","0.898 cm"
"P7","3.070 cm","10.222 cm","0.900 cm"
"P8","3.053 cm","10.212 cm","0.898 cm"
"P9","3.083 cm","10.221 cm","0.900 cm"
"P10","3.028 cm","10.085 cm","0.886 cm"
