"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,1,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,1,0.00
0.550,0.00000,1,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,1,0.00
0.800,0.00000,1,0.00
0.850,0.00000,1,0.00
0.900,0.00000,1,0.00
0.950,0.00000,1,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.00
1.150,0.00000,1,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,1,0.00
1.350,0.00000,0,0.00
1.400,0.00000,1,0.00
1.450,0.00000,1,0.00
1.500,0.00000,1,0.00
1.550,0.00000,1,0.00
1.600,0.00000,1,0.00
1.650,0.00000,1,0.00
1.700,0.00000,0,0.00
1.750,0.00000,1,0.00
1.800,0.00000,0,0.00
1.850,0.00000,1,0.00
1.900,0.00000,1,0.00
1.950,0.00000,0,0.00
2.000,0.00000,0,0.00
2.050,0.00000,1,0.13
2.100,0.00000,0,0.25
2.150,6.35000E-7,1,0.38
2.200,6.35000E-7,1,0.51
2.250,1.27000E-6,1,0.51
2.300,1.90500E-6,2,0.38
2.350,1.90500E-6,2,0.13
2.400,1.90500E-6,2,0.00
2.450,1.90500E-6,2,0.13
2.500,1.90500E-6,3,0.25
2.550,2.54000E-6,3,0.25
2.600,2.54000E-6,3,0.13
2.650,2.54000E-6,3,0.00
2.700,2.54000E-6,2,0.13
2.750,2.54000E-6,3,0.25
2.800,3.17500E-6,3,0.25
2.850,3.17500E-6,3,0.13
2.900,3.17500E-6,3,0.13
2.950,3.17500E-6,3,0.25
3.000,3.81000E-6,4,0.25
3.050,3.81000E-6,3,0.13
3.100,3.81000E-6,3,0.13
3.150,3.81000E-6,4,0.25
3.200,4.44500E-6,4,0.25
3.250,4.44500E-6,4,0.13
3.300,4.44500E-6,5,0.13
3.350,4.44500E-6,4,0.25
3.400,5.08000E-6,4,0.25
3.450,5.08000E-6,5,0.25
3.500,5.08000E-6,4,0.25
3.550,5.71500E-6,5,0.25
3.600,5.71500E-6,5,0.13
3.650,5.71500E-6,4,0.00
3.700,5.71500E-6,5,0.13
3.750,5.71500E-6,5,0.25
3.800,6.35000E-6,6,0.38
3.850,6.35000E-6,6,0.38
3.900,6.98500E-6,6,0.25
3.950,6.98500E-6,5,0.13
4.000,6.98500E-6,7,0.13
4.050,6.98500E-6,6,0.25
4.100,7.62000E-6,6,0.25
4.150,7.62000E-6,6,0.25
4.200,7.62000E-6,7,0.38
4.250,8.25500E-6,7,0.51
4.300,8.89000E-6,6,0.51
4.350,8.89000E-6,7,0.51
4.400,9.52500E-6,8,0.51
