"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.200,0.00000,0,0.00
0.400,0.00000,0,0.00
0.600,0.00000,0,0.00
0.800,0.00000,0,0.00
1.000,0.00000,0,0.00
1.200,0.00000,0,0.00
1.400,0.00000,0,0.00
1.600,0.00000,0,0.06
1.800,0.00000,0,0.19
2.000,1.27000E-6,1,0.29
2.200,2.54000E-6,4,0.32
2.400,3.17500E-6,5,0.29
2.600,4.44500E-6,6,0.32
2.800,5.08000E-6,6,0.48
3.000,6.98500E-6,10,0.54
3.200,1.01600E-5,13,0.41
3.400,1.01600E-5,14,0.29
3.600,1.01600E-5,14,0.32
3.800,1.27000E-5,16,0.41
4.000,1.39700E-5,18,0.41
4.200,1.46050E-5,19,0.35
4.400,1.65100E-5,22,0.32
4.600,1.71450E-5,23,0.25
4.800,1.77800E-5,23,0.22
5.000,1.84150E-5,25,0.25
5.200,1.96850E-5,27,0.29
5.400,2.03200E-5,28,0.29
5.600,2.15900E-5,30,0.25
5.800,2.22250E-5,30,0.25
6.000,2.28600E-5,31,0.22
6.200,2.41300E-5,32,0.22
6.400,2.41300E-5,33,0.22
6.600,2.54000E-5,35,0.19
6.800,2.60350E-5,35,0.16
7.000,2.60350E-5,35,0.13
7.200,2.66700E-5,36,0.16
7.400,2.73050E-5,37,0.22
7.600,2.79400E-5,38,0.25
7.800,2.92100E-5,39,0.25
8.000,2.98450E-5,40,0.25
8.200,3.04800E-5,41,0.29
8.400,3.17500E-5,43,0.35
8.600,3.30200E-5,44,0.35
8.800,3.42900E-5,46,0.35
9.000,3.49250E-5,46,0.32
9.200,3.68300E-5,49,0.29
9.400,3.68300E-5,49,0.29
9.600,3.81000E-5,50,0.29
9.800,3.93700E-5,52,0.29
10.000,4.00050E-5,53,0.22
10.200,4.06400E-5,54,0.22
10.400,4.12750E-5,55,0.22
10.600,4.25450E-5,56,0.19
10.800,4.25450E-5,57,0.16
11.000,4.31800E-5,57,0.13
11.200,4.38150E-5,58,0.13
11.400,4.38150E-5,58,0.10
11.600,4.44500E-5,59,0.10
11.800,4.44500E-5,59,0.10
12.000,4.50850E-5,60,0.10
12.200,4.50850E-5,60,0.10
12.400,4.57200E-5,60,0.13
12.600,4.57200E-5,61,0.19
12.800,4.69900E-5,62,0.22
13.000,4.76250E-5,63,0.25
13.200,4.82600E-5,64,0.25
13.400,4.95300E-5,65,0.25
13.600,5.01650E-5,67,0.22
13.800,5.08000E-5,67,0.16
14.000,5.14350E-5,68,0.16
14.200,5.14350E-5,69,0.16
14.400,5.27050E-5,70,0.13
14.600,5.27050E-5,70,0.10
14.800,5.27050E-5,70,0.06
15.000,5.33400E-5,70,0.10
15.200,5.33400E-5,71,0.13
15.400,5.39750E-5,71,0.16
15.600,5.46100E-5,72,0.19
15.800,5.52450E-5,74,0.19
16.000,5.58800E-5,74,0.19
16.200,5.65150E-5,75,0.19
16.400,5.71500E-5,75,0.19
16.600,5.77850E-5,77,0.16
16.800,5.84200E-5,77,0.16
17.000,5.84200E-5,78,0.19
17.200,5.96900E-5,79,0.22
17.400,6.03250E-5,80,0.22
17.600,6.09600E-5,81,0.19
17.800,6.15950E-5,82,0.19
18.000,6.22300E-5,83,0.16
18.200,6.28650E-5,83,0.16
18.400,6.28650E-5,84,0.16
18.600,6.41350E-5,85,0.16
18.800,6.41350E-5,86,0.16
19.000,6.47700E-5,86,0.16
19.200,6.54050E-5,87,0.19
19.400,6.60400E-5,88,0.19
19.600,6.66750E-5,89,0.19
19.800,6.73100E-5,90,0.16
20.000,6.79450E-5,90,0.16
20.200,6.79450E-5,91,0.22
20.400,6.92150E-5,92,0.29
20.600,7.04850E-5,94,0.29
20.800,7.11200E-5,95,0.22
21.000,7.17550E-5,95,0.19
21.200,7.23900E-5,96,0.22
21.400,7.30250E-5,97,0.25
21.600,7.42950E-5,99,0.25
21.800,7.49300E-5,100,0.22
22.000,7.55650E-5,101,0.16
22.200,7.62000E-5,101,0.13
22.400,7.62000E-5,102,0.13
22.600,7.68350E-5,103,0.13
22.800,7.74700E-5,104,0.13
23.000,7.74700E-5,104,0.13
23.200,7.81050E-5,104,0.16
23.400,7.87400E-5,105,0.19
23.600,7.93750E-5,106,0.19
23.800,8.00100E-5,107,0.16
24.000,8.06450E-5,108,0.13
24.200,8.06450E-5,108,0.10
24.400,8.12800E-5,109,0.10
24.600,8.12800E-5,109,0.13
24.800,8.19150E-5,109,0.13
25.000,8.25500E-5,110,0.13
25.200,8.25500E-5,111,0.13
25.400,8.31850E-5,111,0.19
25.600,8.38200E-5,112,0.22
25.800,8.50900E-5,113,0.25
26.000,8.50900E-5,115,0.29
26.200,8.69950E-5,116,0.29
26.400,8.76300E-5,117,0.25
26.600,8.82650E-5,118,0.25
26.800,8.89000E-5,119,0.32
27.000,9.08050E-5,121,0.29
27.200,9.14400E-5,123,0.22
27.400,9.14400E-5,123,0.19
27.600,9.27100E-5,124,0.25
27.800,9.33450E-5,126,0.29
28.000,9.46150E-5,127,0.32
28.200,9.52500E-5,128,0.32
28.400,9.71550E-5,130,0.25
28.600,9.71550E-5,131,0.19
28.800,9.77900E-5,131,0.16
29.000,9.84250E-5,133,0.16
29.200,9.90600E-5,133,0.13
29.400,9.90600E-5,134,0.13
29.600,9.96950E-5,135,0.16
29.800,1.00330E-4,135,0.22
30.000,1.00965E-4,136,0.29
30.200,1.02235E-4,138,0.35
30.400,1.03505E-4,140,0.32
30.600,1.04775E-4,142,0.38
30.800,1.04775E-4,142,0.54
31.000,1.08585E-4,145,0.64
31.200,1.10490E-4,150,0.57
31.400,1.11760E-4,151,0.44
31.600,1.13030E-4,154,0.48
31.800,1.14935E-4,156,0.48
32.000,1.16840E-4,159,0.44
32.200,1.17475E-4,160,0.41
32.400,1.19380E-4,162,0.44
32.600,1.20650E-4,164,0.48
32.800,1.22555E-4,166,0.44
33.000,1.23825E-4,168,0.38
33.200,1.25095E-4,169,0.32
33.400,1.25730E-4,171,0.35
33.600,1.27000E-4,173,0.41
33.800,1.28905E-4,175,0.44
34.000,1.30175E-4,176,0.38
34.200,1.31445E-4,178,0.29
34.400,1.32080E-4,180,0.22
34.600,1.32715E-4,181,0.19
34.800,1.33350E-4,181,0.22
35.000,1.33985E-4,182,0.29
35.200,1.35255E-4,184,0.35
35.400,1.36525E-4,185,0.41
35.600,1.37795E-4,187,0.44
35.800,1.39700E-4,189,0.44
36.000,1.40970E-4,191,0.38
36.200,1.42240E-4,193,0.32
36.400,1.42875E-4,195,0.29
36.600,1.44145E-4,196,0.29
36.800,1.44780E-4,197,0.32
37.000,1.46050E-4,198,0.35
37.200,1.47320E-4,200,0.41
37.400,1.48590E-4,201,0.44
37.600,1.50495E-4,204,0.44
37.800,1.51765E-4,206,0.44
38.000,1.53035E-4,208,0.41
38.200,1.54940E-4,210,0.41
38.400,1.55575E-4,212,0.41
38.600,1.57480E-4,214,0.41
38.800,1.58750E-4,216,0.41
39.000,1.60020E-4,218,0.35
39.200,1.61290E-4,219,0.38
39.400,1.61925E-4,220,0.41
39.600,1.64465E-4,223,0.41
39.800,1.65100E-4,225,0.41
40.000,1.66370E-4,227,0.44
40.200,1.68275E-4,228,0.51
40.400,1.70180E-4,231,0.51
40.600,1.71450E-4,233,0.51
40.800,1.73355E-4,235,0.51
41.000,1.75260E-4,237,0.51
41.200,1.76530E-4,239,0.51
41.400,1.78435E-4,242,0.54
41.600,1.80340E-4,243,0.57
41.800,1.82245E-4,245,0.73
42.000,1.84150E-4,247,0.79
42.200,1.89230E-4,-21,0.60
42.400,1.89230E-4,-21,0.25
42.600,1.89230E-4,-21,0.00
42.800,1.89230E-4,-21,0.00
43.000,1.89230E-4,-21,0.00
43.200,1.89230E-4,-21,0.00
43.400,1.89230E-4,-21,0.00
43.600,1.89230E-4,-21,0.00
43.800,1.89230E-4,-21,
