"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,1,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,1,0.00
0.450,0.00000,1,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,0,0.00
0.700,0.00000,0,0.00
0.750,0.00000,0,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,1,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,1,0.00
1.350,0.00000,0,0.00
1.400,0.00000,1,0.00
1.450,0.00000,0,0.00
1.500,0.00000,1,0.00
1.550,0.00000,0,0.00
1.600,0.00000,0,0.00
1.650,0.00000,0,0.00
1.700,0.00000,1,0.00
1.750,0.00000,0,0.00
1.800,0.00000,0,0.00
1.850,0.00000,1,0.00
1.900,0.00000,0,0.00
1.950,0.00000,0,0.00
2.000,0.00000,1,0.00
2.050,0.00000,0,0.00
2.100,0.00000,0,0.00
2.150,0.00000,1,0.00
2.200,0.00000,1,0.00
2.250,0.00000,1,0.00
2.300,0.00000,1,0.00
2.350,0.00000,0,0.00
2.400,0.00000,1,0.00
2.450,0.00000,1,0.00
2.500,0.00000,1,0.00
2.550,0.00000,1,0.13
2.600,0.00000,1,0.51
2.650,6.35000E-7,1,0.89
2.700,1.90500E-6,2,1.02
2.750,2.54000E-6,2,0.89
2.800,3.17500E-6,3,0.76
2.850,3.81000E-6,3,0.63
2.900,4.44500E-6,4,0.51
2.950,4.44500E-6,3,0.38
3.000,5.08000E-6,4,0.38
3.050,5.08000E-6,4,0.38
3.100,5.71500E-6,4,0.38
3.150,5.71500E-6,5,0.51
3.200,6.35000E-6,4,0.76
3.250,6.98500E-6,5,1.27
3.300,8.25500E-6,6,2.16
3.350,1.01600E-5,7,2.92
3.400,1.39700E-5,9,2.67
3.450,1.58750E-5,11,1.52
3.500,1.58750E-5,12,0.51
3.550,1.58750E-5,12,0.25
3.600,1.65100E-5,12,0.38
3.650,1.65100E-5,12,0.38
3.700,1.71450E-5,11,0.25
3.750,1.71450E-5,12,0.25
3.800,1.71450E-5,13,0.25
3.850,1.77800E-5,12,0.25
3.900,1.77800E-5,12,0.25
3.950,1.77800E-5,12,0.25
4.000,1.84150E-5,13,0.38
4.050,1.84150E-5,13,0.51
4.100,1.90500E-5,13,0.51
4.150,1.96850E-5,13,0.38
4.200,1.96850E-5,13,0.25
4.250,1.96850E-5,14,0.25
4.300,2.03200E-5,14,0.38
4.350,2.03200E-5,14,0.38
4.400,2.09550E-5,14,0.38
4.450,2.09550E-5,14,0.51
4.500,2.15900E-5,14,0.63
4.550,2.22250E-5,15,0.64
4.600,2.28600E-5,15,0.51
4.650,2.28600E-5,16,0.51
4.700,2.34950E-5,16,0.64
4.750,2.41300E-5,16,0.76
4.800,2.47650E-5,17,0.76
4.850,2.54000E-5,17,0.76
4.900,2.60350E-5,18,0.64
4.950,2.66700E-5,18,0.51
5.000,2.66700E-5,18,0.51
5.050,2.73050E-5,19,0.51
5.100,2.79400E-5,19,0.51
5.150,2.79400E-5,19,0.51
5.200,2.85750E-5,20,0.64
5.250,2.92100E-5,20,0.76
5.300,2.98450E-5,21,0.76
5.350,3.04800E-5,21,0.76
5.400,3.11150E-5,21,0.76
5.450,3.17500E-5,22,0.64
5.500,3.23850E-5,22,0.51
5.550,3.23850E-5,22,0.51
5.600,3.30200E-5,22,0.64
5.650,3.36550E-5,23,0.76
5.700,3.42900E-5,24,0.76
5.750,3.49250E-5,24,0.76
5.800,3.55600E-5,25,0.76
5.850,3.61950E-5,25,0.76
5.900,3.68300E-5,26,0.76
5.950,3.74650E-5,26,0.76
6.000,3.81000E-5,27,0.89
6.050,3.87350E-5,27,0.89
6.100,4.00050E-5,28,0.76
6.150,4.00050E-5,28,0.64
6.200,4.06400E-5,28,0.64
6.250,4.12750E-5,30,0.76
6.300,4.19100E-5,30,0.76
6.350,4.25450E-5,30,0.76
6.400,4.31800E-5,30,0.76
6.450,4.38150E-5,30,0.89
6.500,4.44500E-5,31,1.02
6.550,4.57200E-5,32,1.02
6.600,4.63550E-5,33,0.89
6.650,4.69900E-5,33,0.76
6.700,4.76250E-5,34,0.64
6.750,4.82600E-5,33,0.51
6.800,4.82600E-5,34,0.64
6.850,4.88950E-5,35,0.89
6.900,5.01650E-5,36,1.27
6.950,5.08000E-5,36,1.40
7.000,5.27050E-5,38,1.27
7.050,5.33400E-5,38,1.14
7.100,5.39750E-5,39,1.02
7.150,5.52450E-5,39,1.02
7.200,5.58800E-5,39,0.89
7.250,5.65150E-5,40,0.76
7.300,5.71500E-5,41,0.89
7.350,5.77850E-5,41,1.02
7.400,5.90550E-5,42,1.02
7.450,5.96900E-5,43,1.02
7.500,6.03250E-5,43,1.02
7.550,6.15950E-5,43,1.14
7.600,6.22300E-5,44,1.27
7.650,6.35000E-5,45,1.40
