"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
8.900,1.10490E-4,371,1.27
8.950,1.11125E-4,374,0.89
9.000,1.11760E-4,376,0.64
9.050,1.12395E-4,378,0.51
9.100,1.12395E-4,379,0.51
9.150,1.13030E-4,381,0.51
9.200,1.13665E-4,383,0.51
9.250,1.13665E-4,385,0.38
9.300,1.14300E-4,385,0.25
9.350,1.14300E-4,386,0.13
9.400,1.14300E-4,386,0.00
9.450,1.14300E-4,386,0.00
9.500,1.14300E-4,385,0.00
9.550,1.14300E-4,385,0.00
9.600,1.14300E-4,386,0.00
9.650,1.14300E-4,385,0.00
9.700,1.14300E-4,386,0.00
9.750,1.14300E-4,385,0.00
9.800,1.14300E-4,385,0.00
9.850,1.14300E-4,384,0.00
9.900,1.14300E-4,385,0.00
9.950,1.14300E-4,384,0.00
10.000,1.14300E-4,385,0.00
10.050,1.14300E-4,384,0.13
10.100,1.14300E-4,385,0.38
10.150,1.14935E-4,387,0.76
10.200,1.15570E-4,389,1.14
10.250,1.16840E-4,395,1.40
10.300,1.18110E-4,401,1.40
10.350,1.19380E-4,406,1.14
10.400,1.20015E-4,410,0.76
10.450,1.20650E-4,411,0.51
10.500,1.20650E-4,414,0.51
10.550,1.21285E-4,416,0.63
10.600,1.21920E-4,418,0.76
10.650,1.22555E-4,422,0.76
10.700,1.23190E-4,423,0.76
10.750,1.23825E-4,427,0.76
10.800,1.24460E-4,429,0.76
10.850,1.25095E-4,432,0.76
10.900,1.25730E-4,435,0.76
10.950,1.26365E-4,438,0.89
11.000,1.27000E-4,441,1.02
11.050,1.28270E-4,445,1.02
11.100,1.28905E-4,448,1.02
11.150,1.29540E-4,452,1.02
11.200,1.30810E-4,457,0.89
11.250,1.31445E-4,459,0.63
11.300,1.31445E-4,460,0.38
11.350,1.32080E-4,461,0.25
11.400,1.32080E-4,463,0.25
11.450,1.32080E-4,463,0.25
11.500,1.32715E-4,464,0.25
11.550,1.32715E-4,465,0.25
11.600,1.32715E-4,466,0.25
11.650,1.33350E-4,467,0.25
11.700,1.33350E-4,467,0.25
11.750,1.33350E-4,470,0.38
11.800,1.33985E-4,470,0.51
11.850,1.34620E-4,472,0.51
11.900,1.34620E-4,474,0.51
11.950,1.35255E-4,477,0.51
12.000,1.35890E-4,479,0.51
12.050,1.35890E-4,481,0.38
12.100,1.36525E-4,482,0.38
12.150,1.36525E-4,483,0.51
12.200,1.37160E-4,486,0.51
12.250,1.37795E-4,488,0.51
12.300,1.37795E-4,489,0.38
12.350,1.38430E-4,489,0.25
12.400,1.38430E-4,491,0.13
12.450,1.38430E-4,491,0.00
12.500,1.38430E-4,492,0.00
12.550,1.38430E-4,491,0.00
12.600,1.38430E-4,492,0.00
12.650,1.38430E-4,492,0.00
12.700,1.38430E-4,492,0.00
12.750,1.38430E-4,492,0.00
12.800,1.38430E-4,491,0.00
12.850,1.38430E-4,491,0.00
12.900,1.38430E-4,492,0.00
12.950,1.38430E-4,492,0.00
13.000,1.38430E-4,491,0.00
13.050,1.38430E-4,491,0.00
13.100,1.38430E-4,491,0.00
13.150,1.38430E-4,491,0.00
13.200,1.38430E-4,491,0.00
13.250,1.38430E-4,491,0.00
13.300,1.38430E-4,491,0.00
13.350,1.38430E-4,491,0.00
13.400,1.38430E-4,490,0.00
13.450,1.38430E-4,490,0.00
13.500,1.38430E-4,491,0.00
13.550,1.38430E-4,490,0.00
