"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,1,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,1,0.00
0.500,0.00000,1,0.13
0.550,0.00000,0,0.38
0.600,6.35000E-7,0,0.63
0.650,1.27000E-6,2,0.76
0.700,1.90500E-6,3,0.89
0.750,2.54000E-6,3,1.27
0.800,3.81000E-6,5,1.65
0.850,5.71500E-6,8,1.52
0.900,6.98500E-6,10,0.89
0.950,6.98500E-6,10,0.38
1.000,6.98500E-6,11,0.25
1.050,7.62000E-6,11,0.25
1.100,7.62000E-6,12,0.13
1.150,7.62000E-6,11,0.00
1.200,7.62000E-6,11,0.00
1.250,7.62000E-6,11,0.13
1.300,7.62000E-6,11,0.25
1.350,8.25500E-6,12,0.25
1.400,8.25500E-6,12,0.25
1.450,8.25500E-6,12,0.51
1.500,8.89000E-6,13,0.89
1.550,1.01600E-5,14,0.89
1.600,1.07950E-5,14,0.51
1.650,1.07950E-5,15,0.25
1.700,1.07950E-5,16,0.38
1.750,1.14300E-5,15,0.63
1.800,1.20650E-5,17,0.89
1.850,1.27000E-5,18,1.14
1.900,1.39700E-5,19,1.27
1.950,1.52400E-5,21,1.02
2.000,1.58750E-5,22,0.64
2.050,1.58750E-5,23,0.38
2.100,1.65100E-5,23,0.38
2.150,1.65100E-5,23,0.51
2.200,1.71450E-5,23,0.63
2.250,1.77800E-5,25,0.76
2.300,1.84150E-5,26,0.76
2.350,1.90500E-5,26,0.76
2.400,1.96850E-5,28,0.76
2.450,2.03200E-5,29,0.76
2.500,2.09550E-5,30,0.76
2.550,2.15900E-5,30,0.76
2.600,2.22250E-5,31,1.02
2.650,2.28600E-5,32,1.52
2.700,2.47650E-5,34,1.65
2.750,2.66700E-5,38,1.14
2.800,2.66700E-5,39,0.38
2.850,2.66700E-5,38,0.00
2.900,2.66700E-5,39,0.00
2.950,2.66700E-5,39,0.00
3.000,2.66700E-5,38,0.00
3.050,2.66700E-5,38,0.00
3.100,2.66700E-5,39,0.00
3.150,2.66700E-5,38,0.00
3.200,2.66700E-5,38,0.00
3.250,2.66700E-5,38,0.00
3.300,2.66700E-5,38,0.00
3.350,2.66700E-5,38,0.00
3.400,2.66700E-5,38,0.00
3.450,2.66700E-5,38,0.00
3.500,2.66700E-5,38,0.00
3.550,2.66700E-5,38,0.00
3.600,2.66700E-5,37,0.00
3.650,2.66700E-5,37,0.00
3.700,2.66700E-5,37,0.00
3.750,2.66700E-5,38,0.00
3.800,2.66700E-5,38,0.00
3.850,2.66700E-5,38,0.00
3.900,2.66700E-5,39,0.00
3.950,2.66700E-5,38,0.00
4.000,2.66700E-5,38,0.00
4.050,2.66700E-5,38,0.00
4.100,2.66700E-5,37,0.00
4.150,2.66700E-5,38,0.00
4.200,2.66700E-5,38,0.00
4.250,2.66700E-5,38,0.00
4.300,2.66700E-5,39,0.00
4.350,2.66700E-5,38,0.00
4.400,2.66700E-5,38,0.00
4.450,2.66700E-5,38,0.00
4.500,2.66700E-5,39,0.13
4.550,2.66700E-5,38,0.25
4.600,2.73050E-5,39,0.38
4.650,2.73050E-5,39,0.51
4.700,2.79400E-5,40,0.51
4.750,2.85750E-5,41,0.51
4.800,2.85750E-5,41,0.38
4.850,2.92100E-5,41,0.38
4.900,2.92100E-5,41,0.38
4.950,2.98450E-5,42,0.25
5.000,2.98450E-5,43,0.13
5.050,2.98450E-5,42,0.13
5.100,2.98450E-5,43,0.25
5.150,3.04800E-5,44,0.38
5.200,3.04800E-5,43,0.38
5.250,3.11150E-5,45,0.38
5.300,3.11150E-5,45,0.38
5.350,3.17500E-5,45,0.38
5.400,3.17500E-5,45,0.64
5.450,3.23850E-5,47,0.76
5.500,3.36550E-5,48,0.76
5.550,3.36550E-5,49,0.64
5.600,3.42900E-5,49,0.64
5.650,3.49250E-5,49,0.64
5.700,3.55600E-5,51,0.51
5.750,3.55600E-5,52,0.51
5.800,3.61950E-5,52,0.51
5.850,3.68300E-5,53,0.51
5.900,3.68300E-5,53,0.38
5.950,3.74650E-5,53,0.38
6.000,3.74650E-5,54,0.38
6.050,3.81000E-5,55,0.38
6.100,3.81000E-5,55,0.38
6.150,3.87350E-5,56,0.38
6.200,3.87350E-5,56,0.38
6.250,3.93700E-5,57,0.25
6.300,3.93700E-5,57,0.13
6.350,3.93700E-5,57,0.13
6.400,3.93700E-5,57,0.38
6.450,4.00050E-5,58,0.76
6.500,4.06400E-5,59,1.02
6.550,4.19100E-5,60,1.02
6.600,4.25450E-5,62,0.76
6.650,4.31800E-5,62,0.38
6.700,4.31800E-5,62,0.13
6.750,4.31800E-5,63,0.00
6.800,4.31800E-5,63,0.00
6.850,4.31800E-5,62,0.00
6.900,4.31800E-5,62,0.00
6.950,4.31800E-5,62,0.00
7.000,4.31800E-5,62,0.13
7.050,4.31800E-5,63,0.25
7.100,4.38150E-5,63,0.38
7.150,4.38150E-5,64,0.38
7.200,4.44500E-5,64,0.25
7.250,4.44500E-5,63,0.13
7.300,4.44500E-5,64,0.00
7.350,4.44500E-5,64,0.13
7.400,4.44500E-5,65,0.25
7.450,4.50850E-5,65,0.38
7.500,4.50850E-5,65,0.38
7.550,4.57200E-5,65,0.38
7.600,4.57200E-5,66,0.38
7.650,4.63550E-5,66,0.25
7.700,4.63550E-5,68,0.25
7.750,4.63550E-5,67,0.25
7.800,4.69900E-5,68,0.38
7.850,4.69900E-5,69,0.51
7.900,4.76250E-5,69,0.51
7.950,4.82600E-5,69,0.51
8.000,4.82600E-5,70,0.38
8.050,4.88950E-5,71,0.38
8.100,4.88950E-5,70,0.51
8.150,4.95300E-5,72,0.64
8.200,5.01650E-5,72,0.63
8.250,5.08000E-5,74,0.38
8.300,5.08000E-5,73,0.13
8.350,5.08000E-5,73,0.00
8.400,5.08000E-5,73,0.00
8.450,5.08000E-5,73,0.00
8.500,5.08000E-5,73,0.00
8.550,5.08000E-5,73,0.00
8.600,5.08000E-5,73,0.00
8.650,5.08000E-5,73,0.00
8.700,5.08000E-5,73,0.00
8.750,5.08000E-5,73,0.00
8.800,5.08000E-5,73,0.00
8.850,5.08000E-5,73,0.00
8.900,5.08000E-5,73,0.00
8.950,5.08000E-5,74,0.00
9.000,5.08000E-5,73,0.00
9.050,5.08000E-5,73,0.00
9.100,5.08000E-5,73,0.00
9.150,5.08000E-5,73,0.00
9.200,5.08000E-5,74,0.00
9.250,5.08000E-5,72,0.00
9.300,5.08000E-5,72,0.00
9.350,5.08000E-5,73,0.00
9.400,5.08000E-5,73,0.00
9.450,5.08000E-5,73,0.00
9.500,5.08000E-5,72,0.00
9.550,5.08000E-5,73,0.00
9.600,5.08000E-5,72,0.00
9.650,5.08000E-5,73,0.00
9.700,5.08000E-5,72,0.00
9.750,5.08000E-5,73,0.00
9.800,5.08000E-5,73,0.00
9.850,5.08000E-5,73,0.00
9.900,5.08000E-5,73,0.00
9.950,5.08000E-5,73,0.00
10.000,5.08000E-5,73,0.00
10.050,5.08000E-5,72,0.00
10.100,5.08000E-5,72,0.00
10.150,5.08000E-5,73,0.00
10.200,5.08000E-5,73,0.00
10.250,5.08000E-5,73,0.00
10.300,5.08000E-5,73,0.00
10.350,5.08000E-5,73,0.25
10.400,5.08000E-5,74,0.51
10.450,5.20700E-5,74,0.64
10.500,5.20700E-5,75,0.51
10.550,5.27050E-5,76,0.38
10.600,5.27050E-5,76,0.38
10.650,5.33400E-5,77,0.38
10.700,5.33400E-5,77,0.38
10.750,5.39750E-5,78,0.25
10.800,5.39750E-5,78,0.13
10.850,5.39750E-5,78,0.13
10.900,5.39750E-5,79,0.25
10.950,5.46100E-5,79,0.38
11.000,5.46100E-5,79,0.38
11.050,5.52450E-5,79,0.38
11.100,5.52450E-5,80,0.51
11.150,5.58800E-5,81,0.51
11.200,5.65150E-5,81,0.51
11.250,5.65150E-5,82,0.38
11.300,5.71500E-5,82,0.38
11.350,5.71500E-5,83,0.51
11.400,5.77850E-5,83,0.51
11.450,5.84200E-5,85,0.51
11.500,5.84200E-5,85,0.51
11.550,5.90550E-5,86,0.51
11.600,5.96900E-5,86,0.51
11.650,5.96900E-5,87,0.51
11.700,6.03250E-5,88,0.64
11.750,6.09600E-5,89,0.64
11.800,6.15950E-5,90,0.51
11.850,6.15950E-5,90,0.38
11.900,6.22300E-5,90,0.25
11.950,6.22300E-5,90,0.13
12.000,6.22300E-5,90,0.13
12.050,6.22300E-5,90,0.38
12.100,6.28650E-5,91,0.51
12.150,6.35000E-5,92,0.51
12.200,6.35000E-5,92,0.38
12.250,6.41350E-5,93,0.38
12.300,6.41350E-5,93,0.38
12.350,6.47700E-5,94,0.25
12.400,6.47700E-5,94,0.25
12.450,6.47700E-5,94,0.25
