"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,0,
0.050,0.00000,1,0.00
0.100,0.00000,1,0.00
0.150,0.00000,0,0.00
0.200,0.00000,1,0.00
0.250,0.00000,1,0.00
0.300,0.00000,0,0.00
0.350,0.00000,1,0.00
0.400,0.00000,1,0.00
0.450,0.00000,1,0.00
0.500,0.00000,1,0.00
0.550,0.00000,1,0.00
0.600,0.00000,1,0.00
0.650,0.00000,0,0.00
0.700,0.00000,1,0.00
0.750,0.00000,0,0.00
0.800,0.00000,2,0.00
0.850,0.00000,1,0.00
0.900,0.00000,1,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,1,0.00
1.100,0.00000,1,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,1,0.00
1.300,0.00000,1,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,0,0.00
1.500,0.00000,1,0.00
1.550,0.00000,1,0.00
1.600,0.00000,1,0.00
1.650,0.00000,1,0.00
1.700,0.00000,1,0.00
1.750,0.00000,1,0.00
1.800,0.00000,0,0.00
1.850,0.00000,1,0.00
1.900,0.00000,0,0.00
1.950,0.00000,1,0.00
2.000,0.00000,1,0.00
2.050,0.00000,0,0.00
2.100,0.00000,0,0.00
2.150,0.00000,1,0.00
2.200,0.00000,1,0.00
2.250,0.00000,0,0.00
2.300,0.00000,1,0.00
2.350,0.00000,1,0.00
2.400,0.00000,1,0.00
2.450,0.00000,1,0.00
2.500,0.00000,1,0.00
2.550,0.00000,1,0.00
2.600,0.00000,1,0.00
2.650,0.00000,0,0.00
2.700,0.00000,1,0.25
2.750,0.00000,2,0.64
2.800,1.27000E-6,5,0.89
2.850,1.90500E-6,8,0.89
2.900,2.54000E-6,9,0.64
2.950,3.17500E-6,9,0.38
3.000,3.17500E-6,11,0.13
3.050,3.17500E-6,10,0.00
3.100,3.17500E-6,10,0.00
3.150,3.17500E-6,10,0.00
3.200,3.17500E-6,10,0.00
3.250,3.17500E-6,10,0.00
3.300,3.17500E-6,11,0.00
3.350,3.17500E-6,10,0.00
3.400,3.17500E-6,10,0.00
3.450,3.17500E-6,10,0.00
3.500,3.17500E-6,10,0.00
3.550,3.17500E-6,10,0.00
3.600,3.17500E-6,10,0.00
3.650,3.17500E-6,11,0.00
3.700,3.17500E-6,10,0.00
3.750,3.17500E-6,10,0.00
3.800,3.17500E-6,10,0.00
3.850,3.17500E-6,11,0.00
3.900,3.17500E-6,11,0.00
3.950,3.17500E-6,11,0.13
4.000,3.17500E-6,11,0.25
4.050,3.81000E-6,12,0.25
4.100,3.81000E-6,12,0.13
4.150,3.81000E-6,13,0.00
4.200,3.81000E-6,12,0.00
4.250,3.81000E-6,13,0.13
4.300,3.81000E-6,13,0.25
4.350,4.44500E-6,13,0.38
4.400,4.44500E-6,14,0.38
4.450,5.08000E-6,15,0.25
4.500,5.08000E-6,15,0.13
4.550,5.08000E-6,16,0.00
4.600,5.08000E-6,16,0.00
4.650,5.08000E-6,16,0.00
4.700,5.08000E-6,16,0.00
4.750,5.08000E-6,15,0.00
4.800,5.08000E-6,15,0.00
4.850,5.08000E-6,16,0.13
4.900,5.08000E-6,16,0.25
4.950,5.71500E-6,16,0.25
5.000,5.71500E-6,16,0.13
5.050,5.71500E-6,17,0.13
5.100,5.71500E-6,17,0.38
5.150,6.35000E-6,20,0.51
5.200,6.98500E-6,20,0.38
5.250,6.98500E-6,20,0.13
5.300,6.98500E-6,21,0.00
5.350,6.98500E-6,20,0.00
5.400,6.98500E-6,21,0.00
5.450,6.98500E-6,21,0.13
5.500,6.98500E-6,21,0.25
5.550,7.62000E-6,22,0.25
5.600,7.62000E-6,22,0.13
5.650,7.62000E-6,23,0.00
5.700,7.62000E-6,22,0.00
5.750,7.62000E-6,23,0.13
5.800,7.62000E-6,23,0.38
5.850,8.25500E-6,23,0.63
5.900,8.89000E-6,26,0.63
5.950,9.52500E-6,27,0.38
6.000,9.52500E-6,28,0.13
6.050,9.52500E-6,27,0.00
6.100,9.52500E-6,27,0.00
6.150,9.52500E-6,28,0.00
6.200,9.52500E-6,27,0.00
6.250,9.52500E-6,27,0.00
6.300,9.52500E-6,28,0.00
6.350,9.52500E-6,28,0.00
6.400,9.52500E-6,28,0.13
6.450,9.52500E-6,29,0.25
6.500,1.01600E-5,29,0.25
6.550,1.01600E-5,29,0.13
6.600,1.01600E-5,29,0.00
6.650,1.01600E-5,29,0.00
6.700,1.01600E-5,29,0.13
6.750,1.01600E-5,30,0.25
6.800,1.07950E-5,32,0.25
6.850,1.07950E-5,31,0.13
6.900,1.07950E-5,30,0.13
6.950,1.07950E-5,31,0.25
7.000,1.14300E-5,32,0.25
7.050,1.14300E-5,33,0.13
7.100,1.14300E-5,33,0.00
7.150,1.14300E-5,33,0.13
7.200,1.14300E-5,34,0.38
7.250,1.20650E-5,36,0.63
7.300,1.27000E-5,37,0.76
7.350,1.33350E-5,39,0.76
7.400,1.39700E-5,41,0.63
7.450,1.46050E-5,43,0.38
7.500,1.46050E-5,43,0.13
7.550,1.46050E-5,44,0.00
7.600,1.46050E-5,44,0.13
7.650,1.46050E-5,44,0.25
