"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
0.000,0.00000,1,
0.050,0.00000,0,0.00
0.100,0.00000,0,0.00
0.150,0.00000,0,0.00
0.200,0.00000,0,0.00
0.250,0.00000,0,0.00
0.300,0.00000,0,0.00
0.350,0.00000,0,0.00
0.400,0.00000,0,0.00
0.450,0.00000,0,0.00
0.500,0.00000,0,0.00
0.550,0.00000,0,0.00
0.600,0.00000,0,0.00
0.650,0.00000,1,0.00
0.700,0.00000,0,0.00
0.750,0.00000,1,0.00
0.800,0.00000,0,0.00
0.850,0.00000,0,0.00
0.900,0.00000,0,0.00
0.950,0.00000,0,0.00
1.000,0.00000,0,0.00
1.050,0.00000,0,0.00
1.100,0.00000,0,0.00
1.150,0.00000,0,0.00
1.200,0.00000,0,0.00
1.250,0.00000,0,0.00
1.300,0.00000,0,0.00
1.350,0.00000,0,0.00
1.400,0.00000,0,0.00
1.450,0.00000,1,0.00
1.500,0.00000,0,0.00
1.550,0.00000,1,0.00
1.600,0.00000,0,0.00
1.650,0.00000,0,0.00
1.700,0.00000,0,0.00
1.750,0.00000,0,0.00
1.800,0.00000,0,0.00
1.850,0.00000,1,0.00
1.900,0.00000,0,0.00
1.950,0.00000,1,0.00
2.000,0.00000,0,0.00
2.050,0.00000,1,0.00
2.100,0.00000,0,0.00
2.150,0.00000,0,0.00
2.200,0.00000,0,0.00
2.250,0.00000,0,0.00
2.300,0.00000,0,0.13
2.350,0.00000,0,0.25
2.400,6.35000E-7,1,0.25
2.450,6.35000E-7,0,0.13
2.500,6.35000E-7,0,0.00
2.550,6.35000E-7,0,0.00
2.600,6.35000E-7,0,0.00
2.650,6.35000E-7,0,0.00
2.700,6.35000E-7,0,0.00
2.750,6.35000E-7,0,0.00
2.800,6.35000E-7,0,0.00
2.850,6.35000E-7,1,0.00
2.900,6.35000E-7,0,0.00
2.950,6.35000E-7,0,0.00
3.000,6.35000E-7,0,0.25
3.050,6.35000E-7,0,1.02
3.100,1.90500E-6,1,1.78
3.150,4.44500E-6,3,1.78
3.200,5.71500E-6,5,1.02
3.250,5.71500E-6,5,0.25
3.300,5.71500E-6,4,0.13
3.350,5.71500E-6,4,0.38
3.400,6.35000E-6,4,0.89
3.450,6.98500E-6,5,1.40
3.500,8.89000E-6,6,1.52
3.550,1.01600E-5,7,1.40
3.600,1.07950E-5,8,1.14
3.650,1.20650E-5,9,1.02
3.700,1.27000E-5,10,1.02
3.750,1.33350E-5,10,1.14
3.800,1.46050E-5,11,1.40
3.850,1.58750E-5,12,1.52
3.900,1.71450E-5,13,1.40
3.950,1.84150E-5,13,1.40
4.000,1.90500E-5,14,1.52
4.050,2.09550E-5,15,1.78
4.100,2.22250E-5,16,2.16
4.150,2.41300E-5,18,2.41
4.200,2.66700E-5,19,2.41
4.250,2.85750E-5,20,1.78
4.300,2.98450E-5,22,0.89
4.350,2.98450E-5,21,0.25
4.400,2.98450E-5,22,0.00
4.450,2.98450E-5,22,0.13
