"Material","Ancho","Largo","Espesor"
"A1",3.039,10.287,0.651
"A2",3.146,10.135,0.688
"A3",3.005,10.325,0.645
"A4",3.033,10.224,0.648
"A5",2.946,10.296,0.646
"A6",3.078,10.121,0.643
"A7",3.018,10.126,0.645
"A8",3.074,10.206,0.626
"A9",3.141,10.235,0.639
"A10",3.077,10.129,0.651
