"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
8.900,4.88950E-5,70,0.25
8.950,4.95300E-5,70,0.38
9.000,4.95300E-5,70,0.38
9.050,5.01650E-5,70,0.25
9.100,5.01650E-5,71,0.13
9.150,5.01650E-5,71,0.00
9.200,5.01650E-5,71,0.13
9.250,5.01650E-5,71,0.25
9.300,5.08000E-5,71,0.25
9.350,5.08000E-5,71,0.13
9.400,5.08000E-5,71,0.00
9.450,5.08000E-5,72,0.00
9.500,5.08000E-5,72,0.13
9.550,5.08000E-5,73,0.25
9.600,5.14350E-5,72,0.25
9.650,5.14350E-5,73,0.25
9.700,5.14350E-5,73,0.25
9.750,5.20700E-5,73,0.25
9.800,5.20700E-5,74,0.13
9.850,5.20700E-5,73,0.00
9.900,5.20700E-5,73,0.00
9.950,5.20700E-5,73,0.00
10.000,5.20700E-5,74,0.13
10.050,5.20700E-5,74,0.25
10.100,5.27050E-5,74,0.25
10.150,5.27050E-5,74,0.13
10.200,5.27050E-5,75,0.00
10.250,5.27050E-5,75,0.13
10.300,5.27050E-5,75,0.25
10.350,5.33400E-5,75,0.25
10.400,5.33400E-5,75,0.13
10.450,5.33400E-5,76,0.00
10.500,5.33400E-5,76,0.13
10.550,5.33400E-5,76,0.25
10.600,5.39750E-5,76,0.38
10.650,5.39750E-5,77,0.38
10.700,5.46100E-5,77,0.25
10.750,5.46100E-5,77,0.13
10.800,5.46100E-5,78,0.13
10.850,5.46100E-5,78,0.25
10.900,5.52450E-5,78,0.25
10.950,5.52450E-5,78,0.13
11.000,5.52450E-5,78,0.00
11.050,5.52450E-5,78,0.13
11.100,5.52450E-5,79,0.25
11.150,5.58800E-5,79,0.25
11.200,5.58800E-5,79,0.25
11.250,5.58800E-5,79,0.25
11.300,5.65150E-5,80,0.25
11.350,5.65150E-5,80,0.13
11.400,5.65150E-5,80,0.00
11.450,5.65150E-5,80,0.00
11.500,5.65150E-5,80,0.13
11.550,5.65150E-5,80,0.25
11.600,5.71500E-5,80,0.25
11.650,5.71500E-5,81,0.25
11.700,5.71500E-5,81,0.25
11.750,5.77850E-5,82,0.25
11.800,5.77850E-5,82,0.25
11.850,5.77850E-5,82,0.25
11.900,5.84200E-5,82,0.25
11.950,5.84200E-5,83,0.25
12.000,5.84200E-5,83,0.25
12.050,5.90550E-5,83,0.25
12.100,5.90550E-5,84,0.25
12.150,5.90550E-5,84,0.25
12.200,5.96900E-5,85,0.25
12.250,5.96900E-5,84,0.25
12.300,5.96900E-5,85,0.25
12.350,6.03250E-5,86,0.25
12.400,6.03250E-5,85,0.13
12.450,6.03250E-5,86,0.13
12.500,6.03250E-5,86,0.25
12.550,6.09600E-5,86,0.25
12.600,6.09600E-5,86,0.25
12.650,6.09600E-5,87,0.25
